z,sigma8,Nreal,n_events_good_mu,xi_break,alpha_fixed,alpha_relative,alpha_local,alpha_local_p16,alpha_local_p84,alpha_mle,xi_c_mle,tail_event_count_relative
0.5,0.75,5000,499351,0.002572219753032141,1.0872900340779426,1.0445166677908873,1.0302369336873127,0.8943495457176536,1.060508736801385,1.02,0.01871556218319785,250984
0.5,0.81,5000,497002,0.0027235044941648005,1.0850394389050133,1.0450023246940696,1.0304312946666663,0.8743467272347208,1.06156449243436,1.015,0.01556483408137497,248980
0.5,0.87,5000,498654,0.002795876198463514,1.0776253345140208,1.0418877205545307,1.0261485298609756,0.8785878123182255,1.0549555813712834,1.015,0.017788812696647057,253637
1.0,0.75,5000,500007,0.003091811291581212,1.092641124408111,1.0282746584824989,1.0373872348345685,0.6107435713173408,1.0796514434145188,0.6,0.07729528228953031,435402
1.0,0.81,5000,499408,0.0028343462924853447,1.0887210848787534,1.0160847352370244,1.0333220018583091,0.5563874256824031,1.0636891851580708,0.6,0.07085865731213362,423482
1.0,0.87,5000,502861,0.002254516071001724,1.0874639666091372,1.0006852828337789,1.0072663834399833,0.2960905532375961,1.0628491713607915,0.6,0.0563629017750431,398861
2.0,0.75,5000,500849,0.0038369138679008674,1.1233961854068286,1.021590376971469,1.0468721371033851,0.3129824003239477,1.0814553341287578,0.6,0.09592284669752169,359602
2.0,0.81,5000,502949,0.004026915465818204,1.1202874947617651,1.020872800471226,1.0509979185221319,0.2987162327613665,1.0860825022703708,0.6,0.10067288664545511,359909
2.0,0.87,5000,501709,0.004352391166604641,1.1165288029216942,1.0214784557986927,1.0543094253819767,0.29306026973957966,1.0834868539753004,0.6,0.10880977916511603,362800
5.0,0.75,5000,497575,0.004680040424333812,1.202072646345162,0.8888552680318347,0.5373087275635129,-0.17479474290670027,1.0884733796735926,0.6,0.1170010106083453,236659
5.0,0.81,5000,498745,0.005018942367689372,1.2003160950307699,0.8910130585696552,0.5403996746347204,-0.16915719395184337,1.087115561816205,0.6,0.1254735591922343,237806
5.0,0.87,5000,503380,0.005264243530870753,1.1910736454591246,0.8847273498872654,0.5340548385744341,-0.1780698064404106,1.0885203850570448,0.6,0.1316060882717688,237691
