z,sigma8,Nreal,Nhalos,alpha,alpha_bootstrap_std,alpha_p16,alpha_p50,alpha_p84,tail_event_count,n_events_good_mu
0.5,0.75,5000,100,1.0872900340779426,0.004563077283588259,1.083241415201341,1.0870042559008422,1.0915441229882732,353024,499351
0.5,0.81,5000,100,1.0850394389050133,0.0037387765507248937,1.0813988281216105,1.08541846262156,1.0891716648971537,371462,497002
0.5,0.87,5000,100,1.0776253345140208,0.00329737693908996,1.075486338156947,1.0784355327661037,1.0810295688354403,388875,498654
1.0,0.75,5000,100,1.092641124408111,0.0031843401415180463,1.0889435235956133,1.0917077772741066,1.0951606215557728,493468,500007
1.0,0.81,5000,100,1.0887210848787534,0.0038413318683074875,1.0850831093498399,1.0890868779459963,1.0922716193531776,492336,499408
1.0,0.87,5000,100,1.0874639666091372,0.0025755822856314203,1.0864339125438147,1.0882899521838658,1.0900986852045063,495315,502861
2.0,0.75,5000,100,1.1233961854068286,0.002856356870482043,1.1206701115384725,1.1233584043381966,1.126439430446028,483553,500849
2.0,0.81,5000,100,1.1202874947617651,0.003103219315237121,1.1178098171221944,1.120703439585039,1.1242439793807697,484097,502949
2.0,0.87,5000,100,1.1165288029216942,0.003152784472789262,1.1127674959837914,1.1158922485037988,1.1192731018740618,481374,501709
5.0,0.75,5000,100,1.202072646345162,0.0033073338671507865,1.1984476400004604,1.2009509923004145,1.2048879921395002,459912,497575
5.0,0.81,5000,100,1.2003160950307699,0.0034405889813111626,1.1967580245911384,1.2000693641185594,1.2042871574612437,457036,498745
5.0,0.87,5000,100,1.1910736454591246,0.0035696022535791723,1.1890137132612622,1.1917020025382037,1.1953437393534077,457727,503380
