z,sigma8,Nreal,n_events_good_mu,xi_break,tail_event_count,alpha_relative,alpha_hill,alpha_pareto
0.5,0.75,5000,499351,0.002572219753032141,250984,1.0445166677908873,1.3692322963629369,1.3692322963629369
0.5,0.81,5000,497002,0.0027235044941648005,248980,1.0450023246940696,1.3697314280463098,1.3697314280463098
0.5,0.87,5000,498654,0.002795876198463514,253637,1.0418877205545307,1.3680463357804606,1.3680463357804606
1.0,0.75,5000,500007,0.003091811291581212,435402,1.0282746584824989,0.9228084140485667,0.9228084140485667
1.0,0.81,5000,499408,0.0028343462924853447,423482,1.0160847352370244,0.8369259058604298,0.8369259058604298
1.0,0.87,5000,502861,0.002254516071001724,398861,1.0006852828337789,0.7152391719942243,0.7152391719942243
2.0,0.75,5000,500849,0.0038369138679008674,359602,1.021590376971469,0.6100850609047008,0.6100850609047008
2.0,0.81,5000,502949,0.004026915465818204,359909,1.020872800471226,0.6086046316197937,0.6086046316197937
2.0,0.87,5000,501709,0.004352391166604641,362800,1.0214784557986927,0.614606112743583,0.614606112743583
5.0,0.75,5000,497575,0.004680040424333812,236659,0.8888552680318347,0.4967514438523622,0.4967514438523622
5.0,0.81,5000,498745,0.005018942367689372,237806,0.8910130585696552,0.49707236910542774,0.49707236910542774
5.0,0.87,5000,503380,0.005264243530870753,237691,0.8847273498872654,0.49611213864460946,0.49611213864460946
