z,sigma8,alpha_fit,xi_c_fit,rmse,r2,n_points,threshold_min,threshold_max
0.5,0.75,0.76,0.01011232077738101,0.28575607862542773,-1.0347412219457297,37,3.1622776601683795e-05,0.006422325422229356
0.5,0.81,0.74,0.009803657911788726,0.2919456653851813,-0.9823819889265439,37,3.1622776601683795e-05,0.006422325422229356
0.5,0.87,0.73,0.01011232077738101,0.3187477237048802,-1.1971091373619807,38,3.1622776601683795e-05,0.007443803013251681
1.0,0.75,0.4,0.008660388857685126,0.3880833266768822,-0.16897697394353206,40,3.1622776601683795e-05,0.01
1.0,0.81,0.4,0.008933056515615352,0.38154264136494065,-0.12578109554785422,40,3.1622776601683795e-05,0.01
1.0,0.87,0.4,0.009504416500152765,0.3601478308069762,0.0029206894200157762,40,3.1622776601683795e-05,0.01
2.0,0.75,0.4,0.015607325345644017,0.23342983636768624,0.7269443206214181,40,3.1622776601683795e-05,0.01
2.0,0.81,0.4,0.01660557282707094,0.22893720437480308,0.735676480839677,40,3.1622776601683795e-05,0.01
2.0,0.87,0.4,0.01766766840624083,0.2261674133748144,0.7401260339885702,40,3.1622776601683795e-05,0.01
5.0,0.75,0.4,0.02,0.24383768393828992,0.7548266160871618,40,3.1622776601683795e-05,0.01
5.0,0.81,0.4,0.02,0.24680865054889403,0.7451234735832547,40,3.1622776601683795e-05,0.01
5.0,0.87,0.4,0.02,0.24868638881563027,0.7355072842895776,40,3.1622776601683795e-05,0.01
