z,sigma8,alpha_fit,xi_c_fit,rmse,r2,n_points,threshold_min,threshold_max
0.5,0.75,0.75,0.009420608959660823,0.3053410236934328,-1.3232103997246076,37,3.1622776601683795e-05,0.006422325422229356
0.5,0.81,0.75,0.010157201751574516,0.28382504527222036,-0.8736337974368173,37,3.1622776601683795e-05,0.006422325422229356
0.5,0.87,0.725,0.010157201751574516,0.315895509306384,-1.1579647709615792,38,3.1622776601683795e-05,0.007443803013251681
1.0,0.75,0.4,0.008737433334637126,0.38440726511436946,-0.14693594004557253,40,3.1622776601683795e-05,0.01
1.0,0.81,0.4,0.009420608959660823,0.3607433470599829,-0.006385680219648915,40,3.1622776601683795e-05,0.01
1.0,0.87,0.4,0.009420608959660823,0.3635074103702194,-0.015768253632229223,40,3.1622776601683795e-05,0.01
2.0,0.75,0.4,0.015956759156895397,0.2311902222035357,0.7321587842613846,40,3.1622776601683795e-05,0.01
2.0,0.81,0.4,0.015956759156895397,0.23286157847584713,0.726536900763946,40,3.1622776601683795e-05,0.01
2.0,0.87,0.4,0.017204410325477086,0.22822189220771572,0.7353832593967391,40,3.1622776601683795e-05,0.01
5.0,0.75,0.4,0.02,0.24383768393828992,0.7548266160871618,40,3.1622776601683795e-05,0.01
5.0,0.81,0.4,0.02,0.24680865054889403,0.7451234735832547,40,3.1622776601683795e-05,0.01
5.0,0.87,0.4,0.02,0.24868638881563027,0.7355072842895776,40,3.1622776601683795e-05,0.01
