z,sigma8,alpha_fit,xi_c_fit,rmse,r2,n_points,threshold_min,threshold_max
0.5,0.75,0.7666666666666666,0.010814837471201993,0.2679689582357606,-0.7893166547393704,37,3.1622776601683795e-05,0.006422325422229356
0.5,0.81,0.7333333333333334,0.009563524997900372,0.2981630677476214,-1.0677164197210476,37,3.1622776601683795e-05,0.006422325422229356
0.5,0.87,0.7333333333333334,0.010814837471201993,0.2979589063999634,-0.9198627815855913,38,3.1622776601683795e-05,0.007443803013251681
1.0,0.75,0.4,0.008456993517379234,0.3984182019762789,-0.23206701349489167,40,3.1622776601683795e-05,0.01
1.0,0.81,0.4,0.009563524997900372,0.35534995912582057,0.023481832755809506,40,3.1622776601683795e-05,0.01
1.0,0.87,0.4,0.009563524997900372,0.35803157724377915,0.014604076059843485,40,3.1622776601683795e-05,0.01
2.0,0.75,0.4,0.01563961278178932,0.23329210012280835,0.7272664608296795,40,3.1622776601683795e-05,0.01
2.0,0.81,0.4,0.01563961278178932,0.23525271596596814,0.7208919584376625,40,3.1622776601683795e-05,0.01
2.0,0.87,0.4,0.017685933835559445,0.2261609652148351,0.7401408520827828,40,3.1622776601683795e-05,0.01
5.0,0.75,0.4,0.02,0.2439033651389762,0.754694516316549,40,3.1622776601683795e-05,0.01
5.0,0.81,0.4,0.02,0.24688544232170548,0.7449648449035975,40,3.1622776601683795e-05,0.01
5.0,0.87,0.4,0.02,0.24877399435277434,0.7353209041036245,40,3.1622776601683795e-05,0.01
