zs,factor,N,seed,excess,err,runtime
2.0,1e-05,40000,42,0.0002530373457758934,9.762736578394728e-06,135.09338879585266
0.5,1e-05,40000,42,1.0377727420724837e-05,9.281384114720429e-07,137.94645500183105
1.5,1e-05,40000,42,0.00014875312143849007,7.055046311483096e-06,137.99311304092407
1.0,1e-05,40000,42,5.631428151636048e-05,3.2335757126603594e-06,140.72041296958923
0.5,3.162e-05,40000,42,1.1321563956394424e-05,1.1380204387219715e-06,69.84579086303711
10.0,1e-05,40000,42,0.0017496988966841168,3.666571435339255e-05,96.13792705535889
5.0,1e-05,40000,42,0.0009750779759648241,2.377399462487324e-05,112.52697801589966
3.0,1e-05,40000,42,0.000514554508058083,1.7953840509863053e-05,125.42903900146484
1.0,3.162e-05,40000,42,6.0727039816963315e-05,3.929983923659831e-06,73.16778421401978
1.5,3.162e-05,40000,42,0.00014148818664160533,8.790647539506198e-06,73.32209396362305
2.0,3.162e-05,40000,42,0.00027111572834055556,9.459185314496232e-06,73.05685496330261
3.0,3.162e-05,40000,42,0.0005139244314549514,1.4745178510168546e-05,71.24314904212952
5.0,3.162e-05,40000,42,0.000983407526859146,2.9211024728859313e-05,66.71690273284912
0.5,0.0001,40000,42,1.0091556723479975e-05,1.0305924673678607e-06,37.77277398109436
10.0,3.162e-05,40000,42,0.0016661667118164497,3.612614524054953e-05,59.44439101219177
1.0,0.0001,40000,42,5.676457073690842e-05,3.8546259656008805e-06,40.05341720581055
1.5,0.0001,40000,42,0.00015596702554465788,1.0475201077931263e-05,41.178256034851074
2.0,0.0001,40000,42,0.0002455629994180682,1.0832346219056663e-05,42.07221508026123
3.0,0.0001,40000,42,0.0004666920660239488,1.610082157537587e-05,42.512351989746094
5.0,0.0001,40000,42,0.0009039888532597837,2.4428432538884393e-05,41.88346290588379
0.5,0.0003162,40000,42,1.001092977904341e-05,7.930721671891116e-07,24.31851291656494
10.0,0.0001,40000,42,0.0016045164122377217,3.845563806989302e-05,40.55955195426941
1.0,0.0003162,40000,42,5.4444454240063596e-05,3.6420272915024998e-06,25.9443142414093
1.5,0.0003162,40000,42,0.00013116614529335162,6.423783188291775e-06,26.94744873046875
2.0,0.0003162,40000,42,0.00023541628890783907,9.40729654773101e-06,27.18286681175232
3.0,0.0003162,40000,42,0.0004161561848728705,1.3853871495286363e-05,27.74097990989685
5.0,0.0003162,40000,42,0.0008709042052529445,3.043102520252134e-05,28.28108525276184
10.0,0.0003162,40000,42,0.0015111480391300294,3.5923447726031734e-05,27.946610927581787
0.5,0.001,40000,42,8.6368081001514e-06,9.874130876834607e-07,17.54569721221924
1.0,0.001,40000,42,5.5974539642192995e-05,3.829620044749483e-06,19.314966201782227
1.5,0.001,40000,42,0.00012341884406167724,7.210693139647881e-06,19.944195985794067
2.0,0.001,40000,42,0.0002012937872334121,9.226522061431763e-06,20.523162126541138
3.0,0.001,40000,42,0.00040162876188778833,1.47015909473651e-05,20.878565788269043
5.0,0.001,40000,42,0.0007607755013981079,2.3287942499215245e-05,21.257687091827393
0.5,0.003162,40000,42,8.006104664807817e-06,9.478414983504348e-07,14.236123085021973
10.0,0.001,40000,42,0.0013728505647322333,3.242991646386259e-05,21.67359209060669
1.0,0.003162,40000,42,5.2008143879856794e-05,3.944720522295395e-06,15.2135009765625
1.5,0.003162,40000,42,0.00010292025386293008,5.673636917375101e-06,16.12370491027832
2.0,0.003162,40000,42,0.0001983003884506152,1.0738293622437968e-05,16.473849296569824
3.0,0.003162,40000,42,0.00036916545032204904,1.5253915845251399e-05,17.233513116836548
5.0,0.003162,40000,42,0.0006596725944162784,2.2726862917909785e-05,18.062490940093994
0.5,0.01,40000,42,7.0302848721601684e-06,7.764763203437107e-07,12.92899775505066
10.0,0.003162,40000,42,0.00116587761384538,3.216946109966692e-05,18.648257970809937
1.0,0.01,40000,42,4.565357510978227e-05,4.047618006505767e-06,13.934925079345703
1.5,0.01,40000,42,0.0001027236058634706,1.019246588080576e-05,14.411342144012451
2.0,0.01,40000,42,0.00017251729983557788,1.037105128674066e-05,15.129925012588501
3.0,0.01,40000,42,0.0002963954246401803,1.4881199635459858e-05,15.694342851638794
5.0,0.01,40000,42,0.0005234027365760277,2.5683446706604935e-05,16.289403915405273
10.0,0.01,40000,42,0.0010248416704900926,3.242017511583102e-05,16.97470784187317
