label,zs,seed,Nhalos,excess,err,q0.99,q0.999,q0.9999,qns0.99,qns0.999,qns0.9999,dq0.99,dq0.999,dq0.9999,dqerr0.99,dqerr0.999,dqerr0.9999,runtime
1e-06,10.0,42,100,2.010642e-03,5.630242e-05,8.808983e-01,1.146503e+00,1.575798e+00,8.191527e-01,1.066240e+00,1.506783e+00,6.174557e-02,8.026343e-02,6.901549e-02,4.008165e-03,2.161791e-02,6.745249e-02,290.2
1e-06,5.0,42,100,1.099815e-03,3.458199e-05,6.727156e-01,8.840539e-01,1.183481e+00,6.264592e-01,8.586732e-01,1.215819e+00,4.625638e-02,2.538077e-02,-3.233745e-02,3.586564e-03,9.014894e-03,1.849865e-02,364.8
brute,5.0,42,100,1.108934e-03,3.308283e-05,6.653119e-01,9.144613e-01,1.134099e+00,6.247674e-01,8.800801e-01,1.118600e+00,4.054442e-02,3.438116e-02,1.549838e-02,2.385314e-03,1.077516e-02,2.200865e-02,1003.1
1e-06,1.0,42,100,7.167133e-05,5.177018e-06,1.721638e-01,2.809211e-01,4.531069e-01,1.659708e-01,2.867728e-01,4.752794e-01,6.192962e-03,-5.851689e-03,-2.217249e-02,1.267860e-03,5.707430e-03,1.520919e-02,565.8
3.162e-06,1.0,42,100,6.715114e-05,4.088809e-06,1.705641e-01,2.829045e-01,4.196779e-01,1.645526e-01,2.830365e-01,4.416789e-01,6.011455e-03,-1.319821e-04,-2.200097e-02,1.283583e-03,7.182258e-03,7.409491e-03,302.0
1e-05,10.0,42,100,1.949466e-03,5.082330e-05,8.811971e-01,1.170049e+00,1.403523e+00,8.133403e-01,1.112352e+00,1.350626e+00,6.785678e-02,5.769629e-02,5.289710e-02,3.473347e-03,1.515568e-02,2.672931e-02,107.5
1e-05,5.0,42,100,1.094850e-03,3.409991e-05,6.671836e-01,9.018853e-01,1.159165e+00,6.253838e-01,8.793302e-01,1.167159e+00,4.179976e-02,2.255511e-02,-7.993738e-03,2.941068e-03,1.101975e-02,1.642446e-02,127.7
1e-04,1.0,42,100,6.265501e-05,4.504412e-06,1.731213e-01,2.979329e-01,4.461013e-01,1.683576e-01,3.092953e-01,4.558905e-01,4.763762e-03,-1.136235e-02,-9.789212e-03,1.014973e-03,7.702259e-03,7.944881e-03,43.3
1e-05,1.0,42,100,7.564785e-05,6.194743e-06,1.738020e-01,2.961831e-01,4.005657e-01,1.680133e-01,2.925404e-01,4.235924e-01,5.788626e-03,3.642709e-03,-2.302670e-02,1.310478e-03,6.432927e-03,1.783361e-02,158.4
1e-03,1.0,42,100,5.929736e-05,4.717360e-06,1.733964e-01,2.889651e-01,4.449021e-01,1.651668e-01,2.832208e-01,4.594973e-01,8.229571e-03,5.744255e-03,-1.459514e-02,1.279646e-03,6.711266e-03,6.534271e-03,16.0
1e-02,1.0,42,100,4.070675e-05,3.562434e-06,1.701429e-01,2.957352e-01,4.563790e-01,1.665724e-01,2.999039e-01,4.659920e-01,3.570483e-03,-4.168699e-03,-9.613082e-03,1.093132e-03,5.164645e-03,1.357667e-02,10.8
1e-01,1.0,42,100,4.237814e-05,7.864313e-06,1.678217e-01,2.751820e-01,4.751659e-01,1.630760e-01,2.761674e-01,4.561952e-01,4.745656e-03,-9.853537e-04,1.897064e-02,1.162759e-03,5.277105e-03,4.874200e-02,10.1
1,1.0,42,100,1.813994e-05,5.659247e-06,1.658500e-01,2.763361e-01,4.603377e-01,1.651905e-01,2.729284e-01,4.653272e-01,6.595137e-04,3.407742e-03,-4.989519e-03,9.609251e-04,6.312789e-03,1.827506e-02,9.6
brute,1.0,42,100,6.823036e-05,5.380323e-06,1.738369e-01,2.989511e-01,4.400767e-01,1.688724e-01,3.000734e-01,4.576939e-01,4.964553e-03,-1.122264e-03,-1.761727e-02,1.081014e-03,5.909596e-03,7.001551e-03,2748.5
brute,1.0,43,100,6.121420e-05,4.659909e-06,1.761472e-01,3.041495e-01,4.945898e-01,1.715790e-01,3.105302e-01,5.058877e-01,4.568169e-03,-6.380717e-03,-1.129790e-02,1.310162e-03,3.427275e-03,1.603773e-02,2759.6
brute,1.0,44,100,7.052662e-05,4.541986e-06,1.719014e-01,2.841709e-01,3.955465e-01,1.661148e-01,2.833686e-01,4.114398e-01,5.786606e-03,8.022641e-04,-1.589322e-02,1.314959e-03,5.150941e-03,5.566870e-03,2760.7
brute_N300,1.0,42,300,7.248927e-05,4.573332e-06,1.850906e-01,2.958396e-01,4.518070e-01,1.790188e-01,2.944890e-01,4.563240e-01,6.071810e-03,1.350637e-03,-4.517071e-03,1.107374e-03,5.181774e-03,1.951350e-02,6865.4
