# C2 = 1.46740110
# z   chi[kpc]   P(z)   M2   M3   M4
0.002090 9.29082845e+03 2.98327098e-15 2.31184047e-11 2.14789132e-07 1.99556898e-03
0.002184 9.70765591e+03 2.98308001e-15 4.94889735e-11 4.70785540e-07 4.48069402e-03
0.002282 1.01431740e+04 2.98288015e-15 7.95690523e-11 7.75893013e-07 7.57545220e-03
0.002384 1.05982198e+04 2.98267100e-15 1.13880274e-10 1.13953088e-06 1.14293662e-02
0.002491 1.10736679e+04 2.98245211e-15 1.53017589e-10 1.57292451e-06 1.62286233e-02
0.002603 1.15704320e+04 2.98222302e-15 1.97659563e-10 2.08945143e-06 2.22050630e-02
0.002720 1.20894664e+04 2.98198327e-15 2.48580123e-10 2.70505383e-06 2.96473675e-02
0.002842 1.26317684e+04 2.98173235e-15 3.06661946e-10 3.43872997e-06 3.89149946e-02
0.002969 1.31983795e+04 2.98146974e-15 3.72911731e-10 4.31311978e-06 5.04555231e-02
0.003103 1.37903878e+04 2.98119489e-15 4.48477610e-10 5.35520256e-06 6.48262488e-02
0.003242 1.44089299e+04 2.98090724e-15 5.34669004e-10 6.59712831e-06 8.27210699e-02
0.003387 1.50551933e+04 2.98060617e-15 6.32979259e-10 8.07720819e-06 1.05003959e-01
0.003539 1.57304182e+04 2.98029105e-15 7.45111458e-10 9.84109457e-06 1.32750629e-01
0.003698 1.64359002e+04 2.97996125e-15 8.73007853e-10 1.19431870e-05 1.67300410e-01
0.003864 1.71729929e+04 2.97961605e-15 1.01888342e-09 1.44483070e-05 2.10320818e-01
0.004038 1.79431098e+04 2.97925474e-15 1.18526410e-09 1.74336939e-05 2.63887942e-01
0.004219 1.87477276e+04 2.97887657e-15 1.37503044e-09 2.09913816e-05 3.30586503e-01
0.004408 1.95883889e+04 2.97848075e-15 1.59146730e-09 2.52310308e-05 4.13634401e-01
0.004606 2.04667046e+04 2.97806644e-15 1.83832051e-09 3.02833025e-05 5.17037753e-01
0.004813 2.13843576e+04 2.97763278e-15 2.11986152e-09 3.63038763e-05 6.45783856e-01
0.005029 2.23431056e+04 2.97717886e-15 2.44096107e-09 4.34782374e-05 8.06081363e-01
0.005255 2.33447843e+04 2.97670373e-15 2.80717310e-09 5.20273782e-05 1.00565921e+00
0.005491 2.43913111e+04 2.97620639e-15 3.22483049e-09 6.22145895e-05 1.25413865e+00
0.005737 2.54846886e+04 2.97568580e-15 3.70115413e-09 7.43535492e-05 1.56349626e+00
0.005995 2.66270083e+04 2.97514088e-15 4.24437727e-09 8.88179562e-05 1.94864015e+00
0.006264 2.78204545e+04 2.97457047e-15 4.86388716e-09 1.06053003e-04 2.42812699e+00
0.006545 2.90673084e+04 2.97397338e-15 5.57038662e-09 1.26589041e-04 3.02505432e+00
0.006839 3.03699523e+04 2.97334836e-15 6.37607797e-09 1.51057849e-04 3.76817085e+00
0.007146 3.17308742e+04 2.97269409e-15 7.29487282e-09 1.80212012e-04 4.69325795e+00
0.007467 3.31526720e+04 2.97200921e-15 8.34263098e-09 2.14947995e-04 5.84484859e+00
0.007802 3.46380588e+04 2.97129227e-15 9.53743276e-09 2.56333609e-04 7.27836593e+00
0.008152 3.61898675e+04 2.97054176e-15 1.08998892e-08 3.05640727e-04 9.06278398e+00
0.008518 3.78110565e+04 2.96975612e-15 1.24534954e-08 3.64384219e-04 1.12839375e+01
0.008900 3.95047146e+04 2.96893369e-15 1.42250334e-08 4.34368321e-04 1.40486395e+01
0.009300 4.12740668e+04 2.96807274e-15 1.62450305e-08 5.17741817e-04 1.74898027e+01
0.009717 4.31224806e+04 2.96717147e-15 1.85482820e-08 6.17063736e-04 2.17728102e+01
0.010153 4.50534717e+04 2.96622797e-15 2.11744462e-08 7.35381550e-04 2.71034385e+01
0.010609 4.70707105e+04 2.96524027e-15 2.41687219e-08 8.76324236e-04 3.37377109e+01
0.011085 4.91780289e+04 2.96420630e-15 2.75826206e-08 1.04421304e-03 4.19941515e+01
0.011583 5.13794272e+04 2.96312387e-15 3.14748449e-08 1.24419330e-03 5.22690225e+01
0.012103 5.36790812e+04 2.96199072e-15 3.59122895e-08 1.48239125e-03 6.50552696e+01
0.012646 5.60813497e+04 2.96080447e-15 4.09711805e-08 1.76610068e-03 8.09660776e+01
0.013214 5.85907827e+04 2.95956262e-15 4.67383721e-08 2.10400495e-03 1.00764153e+02
0.013807 6.12121288e+04 2.95826257e-15 5.33128233e-08 2.50644111e-03 1.25398127e+02
0.014426 6.39503446e+04 2.95690160e-15 6.08072780e-08 2.98571407e-03 1.56047798e+02
0.015074 6.68106025e+04 2.95547683e-15 6.93501775e-08 3.55647033e-03 1.94180368e+02
0.015751 6.97983007e+04 2.95398530e-15 7.90878365e-08 4.23614238e-03 2.41620322e+02
0.016458 7.29190720e+04 2.95242386e-15 9.01869188e-08 5.04547717e-03 3.00636263e+02
0.017196 7.61787941e+04 2.95078925e-15 1.02837255e-07 6.00916449e-03 3.74048801e+02
0.017968 7.95835996e+04 2.94907806e-15 1.17255044e-07 7.15658405e-03 4.65364580e+02
0.018775 8.31398870e+04 2.94728669e-15 1.33686500e-07 8.52269347e-03 5.78942763e+02
0.019618 8.68543312e+04 2.94541140e-15 1.52411995e-07 1.01490838e-02 7.20201809e+02
0.020498 9.07338951e+04 2.94344828e-15 1.73750770e-07 1.20852340e-02 8.95876253e+02
0.021418 9.47858419e+04 2.94139323e-15 1.98066290e-07 1.43900010e-02 1.11433554e+03
0.022380 9.90177467e+04 2.93924197e-15 2.25772333e-07 1.71333910e-02 1.38597983e+03
0.023384 1.03437510e+05 2.93699002e-15 2.57339911e-07 2.03986626e-02 1.72373140e+03
0.024434 1.08053370e+05 2.93463269e-15 2.93305123e-07 2.42848249e-02 2.14364433e+03
0.025531 1.12873917e+05 2.93216510e-15 3.34278090e-07 2.89096043e-02 2.66566129e+03
0.026677 1.17908107e+05 2.92958212e-15 3.80953097e-07 3.44129660e-02 3.31455226e+03
0.027874 1.23165277e+05 2.92687841e-15 4.34120104e-07 4.09612952e-02 4.12107903e+03
0.029126 1.28655160e+05 2.92404838e-15 4.94677821e-07 4.87523580e-02 5.12343946e+03
0.030433 1.34387899e+05 2.92108620e-15 5.63648547e-07 5.80211889e-02 6.36905817e+03
0.031799 1.40374065e+05 2.91798578e-15 6.42195002e-07 6.90470740e-02 7.91680648e+03
0.033226 1.46624673e+05 2.91474073e-15 7.31639426e-07 8.21618335e-02 9.83975380e+03
0.034718 1.53151198e+05 2.91134443e-15 8.33485242e-07 9.77596421e-02 1.22285769e+04
0.036276 1.59965595e+05 2.90778993e-15 9.49441603e-07 1.16308670e-01 1.51957832e+04
0.037905 1.67080315e+05 2.90406999e-15 1.08145123e-06 1.38364880e-01 1.88809417e+04
