# C2 = 1.46740110
# zs   sigma_reduced
0.200000 3.56628308e-03
0.235408 4.47985311e-03
0.277084 5.61046249e-03
0.326138 6.99942975e-03
0.383877 8.69365054e-03
0.451837 1.07449102e-02
0.531830 1.32010642e-02
0.625984 1.61089493e-02
0.736806 1.95100189e-02
0.867249 2.34267332e-02
1.020785 2.78667972e-02
1.201502 3.28179326e-02
1.414214 3.82373280e-02
1.664583 4.40627342e-02
1.959277 5.02130708e-02
2.306143 5.65877492e-02
2.714418 6.30818314e-02
3.194972 6.95897858e-02
3.760603 7.60086814e-02
4.426372 8.22481024e-02
5.210007 8.82318446e-02
6.132376 9.38996076e-02
7.218038 9.92101211e-02
8.495904 1.04140090e-01
10.000000 1.08682540e-01
