# zs   sigma_moments
0.020000 1.22610028e-04
0.021257 1.34356250e-04
0.022593 1.47242632e-04
0.024012 1.61319790e-04
0.025521 1.76702204e-04
0.027125 1.93593138e-04
0.028829 2.12012012e-04
0.030641 2.32202547e-04
0.032566 2.54281319e-04
0.034613 2.78390008e-04
0.036788 3.04853155e-04
0.039100 3.33715760e-04
0.041557 3.65311846e-04
0.044168 3.99896343e-04
0.046943 4.37622822e-04
0.049893 4.78997568e-04
0.053028 5.24130926e-04
0.056361 5.73447050e-04
0.059902 6.27478311e-04
0.063667 6.86343805e-04
0.067667 7.50812846e-04
0.071919 8.21145721e-04
0.076439 8.97847641e-04
0.081242 9.81884431e-04
0.086347 1.07333278e-03
0.091773 1.17329189e-03
0.097540 1.28233936e-03
0.103669 1.40104956e-03
0.110184 1.53090270e-03
0.117108 1.67208141e-03
0.124467 1.82599699e-03
0.132288 1.99385369e-03
0.140601 2.17616899e-03
0.149436 2.37512322e-03
0.158826 2.59115570e-03
0.168807 2.82587492e-03
0.179414 3.08164229e-03
0.190689 3.35862399e-03
0.202671 3.65987281e-03
0.215407 3.98636312e-03
0.228943 4.33977019e-03
0.243329 4.72373506e-03
0.258620 5.13820144e-03
0.274871 5.58692418e-03
0.292144 6.07185665e-03
0.310502 6.59435735e-03
0.330013 7.15926268e-03
0.350751 7.76652836e-03
0.372792 8.42000375e-03
0.396218 9.12320351e-03
0.421116 9.87631178e-03
0.447578 1.06851058e-02
0.475703 1.15496302e-02
0.505596 1.24726766e-02
0.537367 1.34598671e-02
0.571135 1.45089117e-02
0.607024 1.56257188e-02
0.645169 1.68104535e-02
0.685710 1.80639561e-02
0.728800 1.93916956e-02
0.774597 2.07898962e-02
0.823271 2.22624525e-02
0.875005 2.38095651e-02
0.929989 2.54287363e-02
0.988429 2.71238962e-02
1.050540 2.88898061e-02
1.116555 3.07267183e-02
1.186718 3.26346856e-02
1.261290 3.46072515e-02
1.340548 3.66457153e-02
1.424787 3.87438823e-02
1.514319 4.08980396e-02
1.609477 4.31073956e-02
1.710615 4.53628888e-02
1.818108 4.76628860e-02
1.932356 5.00011234e-02
2.053783 5.23713424e-02
2.182840 5.47708406e-02
2.320007 5.71909630e-02
2.465794 5.96276844e-02
2.620741 6.20755201e-02
2.785426 6.45273989e-02
2.960459 6.69797094e-02
3.146491 6.94254093e-02
3.344213 7.18597054e-02
3.554359 7.42783831e-02
3.777711 7.66752184e-02
4.015098 7.90467841e-02
4.267402 8.13881901e-02
4.535561 8.36954163e-02
4.820571 8.59654896e-02
5.123490 8.81943002e-02
5.445444 9.03793869e-02
5.787629 9.25180497e-02
6.151318 9.46079041e-02
6.537859 9.66474139e-02
6.948691 9.86347755e-02
7.385339 1.00568977e-01
7.849425 1.02449251e-01
8.342674 1.04274982e-01
8.866918 1.06046124e-01
9.424105 1.07762681e-01
10.016306 1.09425025e-01
10.645719 1.11033799e-01
11.314684 1.12589704e-01
12.025686 1.14093762e-01
12.781366 1.15547054e-01
13.584533 1.16950806e-01
14.438169 1.18306392e-01
15.345447 1.19615170e-01
16.309738 1.20878637e-01
17.334623 1.22098285e-01
18.423911 1.23275612e-01
19.581649 1.24412160e-01
20.812138 1.25509382e-01
22.119949 1.26568734e-01
23.509941 1.27591609e-01
24.987279 1.28579298e-01
26.557452 1.29533048e-01
28.226292 1.30454000e-01
30.000000 1.31343235e-01
