# eps_floor   K2
1.000000e-01 8.88357448e-05
6.309573e-02 9.26085946e-05
3.981072e-02 9.50098356e-05
2.511886e-02 9.65351012e-05
1.584893e-02 9.75020018e-05
1.000000e-02 9.81148217e-05
6.309573e-03 9.85026891e-05
3.981072e-03 9.87481822e-05
2.511886e-03 9.89032162e-05
1.584893e-03 9.90012387e-05
1.000000e-03 9.90631795e-05
6.309573e-04 9.91023057e-05
3.981072e-04 9.91270245e-05
2.511886e-04 9.91426235e-05
1.584893e-04 9.91524725e-05
1.000000e-04 9.91586901e-05
6.309573e-05 9.91626130e-05
3.981072e-05 9.91650888e-05
2.511886e-05 9.91666514e-05
1.584893e-05 9.91676373e-05
1.000000e-05 9.91682593e-05
6.309573e-06 9.91686518e-05
3.981072e-06 9.91688994e-05
2.511886e-06 9.91690557e-05
1.584893e-06 9.91691543e-05
1.000000e-06 9.91692165e-05
6.309573e-07 9.91692558e-05
3.981072e-07 9.91692806e-05
2.511886e-07 9.91692962e-05
1.584893e-07 9.91693061e-05
1.000000e-07 9.91693123e-05
