zs = 0.2   kappa_thr(N=100) = 6.56724e-06   fixed kappa_min = 6.56724e-09
kappa_thr    sigW_fixed_eps(1e-3)   sigW_fixed_kmin       
1.000e-05    8.191010e-05           8.192393e-05          
1.778e-05    1.089796e-04           1.090136e-04          
3.162e-05    1.448691e-04           1.449262e-04          
5.623e-05    1.923653e-04           1.924505e-04          
1.000e-04    2.550484e-04           2.551693e-04          
1.778e-04    3.375377e-04           3.377051e-04          
3.162e-04    4.454703e-04           4.456994e-04          
5.623e-04    5.855665e-04           5.858791e-04          
1.000e-03    7.659201e-04           7.663467e-04          
1.778e-03    9.943442e-04           9.949297e-04          
3.162e-03    1.277891e-03           1.278701e-03          
5.623e-03    1.618818e-03           1.619953e-03          
1.000e-02    2.011617e-03           2.013237e-03          
1.778e-02    2.436157e-03           2.438526e-03          
3.162e-02    2.854165e-03           2.857738e-03          
5.623e-02    3.206699e-03           3.212309e-03          
1.000e-01    3.436205e-03           3.445409e-03          
1.778e-01    3.529022e-03           3.544717e-03          
3.162e-01    3.537754e-03           3.565003e-03          
5.623e-01    3.518987e-03           3.566270e-03          
1.000e+00    3.484871e-03           3.566282e-03          
1.778e+00    3.427641e-03           3.566282e-03          
3.162e+00    3.333723e-03           3.566282e-03          
5.623e+00    3.183535e-03           3.566282e-03          
1.000e+01    2.952343e-03           3.566282e-03          
1.778e+01    2.612834e-03           3.566282e-03          
3.162e+01    2.145455e-03           3.566282e-03          
5.623e+01    1.559733e-03           3.566282e-03          
1.000e+02    9.283179e-04           3.566282e-03          
1.778e+02    3.957613e-04           3.566282e-03          
3.162e+02    9.665874e-05           3.566282e-03          
5.623e+02    9.504468e-06           3.566282e-03          
1.000e+03    2.205077e-07           3.566282e-03          

wrote playground/sigmaW_vs_kthr_zs0.2.txt
zs = 0.5   kappa_thr(N=100) = 3.79404e-05   fixed kappa_min = 3.79404e-08
kappa_thr    sigW_fixed_eps(1e-3)   sigW_fixed_kmin       
1.000e-05    2.005034e-04           2.002285e-04          
1.778e-05    2.669072e-04           2.667583e-04          
3.162e-05    3.550978e-04           3.550628e-04          
5.623e-05    4.720857e-04           4.721621e-04          
1.000e-04    6.268654e-04           6.270604e-04          
1.778e-04    8.313170e-04           8.316485e-04          
3.162e-04    1.100297e-03           1.100795e-03          
5.623e-04    1.452403e-03           1.453114e-03          
1.000e-03    1.910180e-03           1.911170e-03          
1.778e-03    2.499536e-03           2.500903e-03          
3.162e-03    3.248516e-03           3.250403e-03          
5.623e-03    4.179785e-03           4.182401e-03          
1.000e-02    5.305453e-03           5.309119e-03          
1.778e-02    6.611164e-03           6.616389e-03          
3.162e-02    8.042543e-03           8.050151e-03          
5.623e-02    9.481569e-03           9.492986e-03          
1.000e-01    1.074606e-02           1.076384e-02          
1.778e-01    1.163271e-02           1.166159e-02          
3.162e-01    1.204838e-02           1.209723e-02          
5.623e-01    1.212471e-02           1.220925e-02          
1.000e+00    1.207273e-02           1.221948e-02          
1.778e+00    1.196688e-02           1.221966e-02          
3.162e+00    1.178883e-02           1.221966e-02          
5.623e+00    1.149556e-02           1.221966e-02          
1.000e+01    1.102622e-02           1.221966e-02          
1.778e+01    1.030079e-02           1.221966e-02          
3.162e+01    9.227434e-03           1.221966e-02          
5.623e+01    7.733658e-03           1.221966e-02          
1.000e+02    5.822674e-03           1.221966e-02          
1.778e+02    3.680978e-03           1.221966e-02          
3.162e+02    1.742777e-03           1.221966e-02          
5.623e+02    5.101917e-04           1.221966e-02          
1.000e+03    6.791241e-05           1.221966e-02          

wrote playground/sigmaW_vs_kthr_zs0.5.txt
zs = 3   kappa_thr(N=100) = 0.000571263   fixed kappa_min = 5.71263e-07
kappa_thr    sigW_fixed_eps(1e-3)   sigW_fixed_kmin       
1.000e-05    8.376809e-04           8.143716e-04          
1.778e-05    1.115181e-03           1.098021e-03          
3.162e-05    1.483918e-03           1.471386e-03          
5.623e-05    1.973591e-03           1.964621e-03          
1.000e-04    2.621914e-03           2.615741e-03          
1.778e-04    3.478710e-03           3.474825e-03          
3.162e-04    4.608270e-03           4.606372e-03          
5.623e-04    6.089548e-03           6.089498e-03          
1.000e-03    8.022323e-03           8.024154e-03          
1.778e-03    1.052149e-02           1.052542e-02          
3.162e-03    1.371623e-02           1.372269e-02          
5.623e-03    1.774141e-02           1.775113e-02          
1.000e-02    2.269810e-02           2.271225e-02          
1.778e-02    2.862440e-02           2.864483e-02          
3.162e-02    3.544842e-02           3.547806e-02          
5.623e-02    4.290828e-02           4.295194e-02          
1.000e-01    5.048950e-02           5.055531e-02          
1.778e-01    5.738197e-02           5.748418e-02          
3.162e-01    6.261729e-02           6.278192e-02          
5.623e-01    6.554634e-02           6.582134e-02          
1.000e+00    6.642799e-02           6.689887e-02          
1.778e+00    6.626141e-02           6.707275e-02          
3.162e+00    6.569335e-02           6.708087e-02          
5.623e+00    6.473841e-02           6.708093e-02          
1.000e+01    6.319200e-02           6.708093e-02          
1.778e+01    6.076060e-02           6.708093e-02          
3.162e+01    5.707018e-02           6.708093e-02          
5.623e+01    5.170202e-02           6.708093e-02          
1.000e+02    4.429500e-02           6.708093e-02          
1.778e+02    3.478434e-02           6.708093e-02          
3.162e+02    2.380590e-02           6.708093e-02          
5.623e+02    1.305769e-02           6.708093e-02          
