zs = 2   kappa_thr(N=100) = 0.000356252   fixed kappa_min = 3.56252e-07
kappa_thr    sigW_fixed_eps(1e-3)   sigW_fixed_kmin       
1.000e-05    6.448609e-04           6.338442e-04          
1.778e-05    8.586772e-04           8.506220e-04          
3.162e-05    1.142817e-03           1.137023e-03          
5.623e-05    1.519910e-03           1.515890e-03          
1.000e-04    2.019773e-03           2.017192e-03          
1.778e-04    2.680677e-03           2.679324e-03          
3.162e-04    3.551999e-03           3.551770e-03          
5.623e-04    4.695835e-03           4.696726e-03          
1.000e-03    6.189550e-03           6.191661e-03          
1.778e-03    8.124066e-03           8.127619e-03          
3.162e-03    1.060336e-02           1.060872e-02          
5.623e-03    1.372849e-02           1.373625e-02          
1.000e-02    1.758604e-02           1.759712e-02          
1.778e-02    2.220879e-02           2.222459e-02          
3.162e-02    2.752156e-02           2.754435e-02          
5.623e-02    3.331042e-02           3.334391e-02          
1.000e-01    3.913378e-02           3.918426e-02          
1.778e-01    4.432689e-02           4.440556e-02          
3.162e-01    4.811582e-02           4.824320e-02          
5.623e-01    5.007388e-02           5.028797e-02          
1.000e+00    5.055460e-02           5.092294e-02          
1.778e+00    5.036829e-02           5.100451e-02          
3.162e+00    4.991678e-02           5.100715e-02          
5.623e+00    4.916147e-02           5.100716e-02          
1.000e+01    4.793213e-02           5.100716e-02          
1.778e+01    4.599392e-02           5.100716e-02          
3.162e+01    4.304159e-02           5.100716e-02          
5.623e+01    3.874041e-02           5.100716e-02          
1.000e+02    3.281180e-02           5.100716e-02          
1.778e+02    2.525860e-02           5.100716e-02          
3.162e+02    1.669284e-02           5.100716e-02          
5.623e+02    8.612398e-03           5.100716e-02          
1.000e+03    2.962806e-03           5.100716e-02          

wrote playground/sigmaW_vs_kthr_zs2.txt
zs = 5   kappa_thr(N=100) = 0.000903763   fixed kappa_min = 9.03763e-07
kappa_thr    sigW_fixed_eps(1e-3)   sigW_fixed_kmin       
1.000e-05    1.095214e-03           1.046205e-03          
1.778e-05    1.457957e-03           1.421845e-03          
3.162e-05    1.940445e-03           1.913874e-03          
5.623e-05    2.579679e-03           2.560319e-03          
1.000e-04    3.424883e-03           3.411081e-03          
1.778e-04    4.541790e-03           4.532400e-03          
3.162e-04    6.012102e-03           6.006365e-03          
5.623e-04    7.938684e-03           7.936163e-03          
1.000e-03    1.044115e-02           1.044169e-02          
1.778e-03    1.367139e-02           1.367514e-02          
3.162e-03    1.778337e-02           1.779080e-02          
5.623e-03    2.293416e-02           2.294618e-02          
1.000e-02    2.924639e-02           2.926451e-02          
1.778e-02    3.675931e-02           3.678597e-02          
3.162e-02    4.537847e-02           4.541760e-02          
5.623e-02    5.479420e-02           5.485227e-02          
1.000e-01    6.440799e-02           6.449574e-02          
1.778e-01    7.327498e-02           7.341122e-02          
3.162e-01    8.022169e-02           8.044028e-02          
5.623e-01    8.434929e-02           8.471222e-02          
1.000e+00    8.578185e-02           8.639964e-02          
1.778e+00    8.566808e-02           8.672751e-02          
3.162e+00    8.494459e-02           8.674832e-02          
5.623e+00    8.372061e-02           8.674855e-02          
1.000e+01    8.175473e-02           8.674855e-02          
1.778e+01    7.869071e-02           8.674855e-02          
3.162e+01    7.408307e-02           8.674855e-02          
5.623e+01    6.742438e-02           8.674855e-02          
1.000e+02    5.826482e-02           8.674855e-02          
1.778e+02    4.648282e-02           8.674855e-02          
3.162e+02    3.271073e-02           8.674855e-02          
5.623e+02    1.884637e-02           8.674855e-02          
1.000e+03    7.853961e-03           8.674855e-02          

wrote playground/sigmaW_vs_kthr_zs5.txt
