kappa_thr    n_expected   sigma_explicit_MC  relerr(Var)  Nreal     
1.000e-05    6.4725e+01   3.594066e-03       0.0775       50000     
1.778e-05    3.5895e+01   3.781358e-03       0.1023       50000     
3.162e-05    1.9817e+01   3.646199e-03       0.0540       50000     
5.623e-05    1.0873e+01   3.534695e-03       0.0533       50000     
1.000e-04    5.9162e+00   3.534445e-03       0.0582       50000     
1.778e-04    3.1819e+00   3.543249e-03       0.0719       50000     
3.162e-04    1.6855e+00   3.570423e-03       0.0544       50000     
5.623e-04    8.7510e-01   3.408590e-03       0.0518       50000     
1.000e-03    4.4151e-01   3.578424e-03       0.0808       50000     
1.778e-03    2.1457e-01   3.532243e-03       0.0598       50000     
3.162e-03    9.9057e-02   3.276288e-03       0.0547       50000     
5.623e-03    4.2718e-02   3.305251e-03       0.0801       70228     
1.000e-02    1.6779e-02   3.174186e-03       0.0545       178791    
1.778e-02    5.7938e-03   2.637224e-03       0.0357       517796    
3.162e-02    1.6554e-03   2.196962e-03       0.0302       1812219   
5.623e-02    3.5656e-04   1.548676e-03       0.0312       5000000   
1.000e-01    4.9286e-05   8.897124e-04       0.0729       5000000   
1.778e-01    3.3363e-06   3.715321e-04       0.2645       5000000   
3.162e-01    7.1158e-08   0.000000e+00       0.0000       5000000   
5.623e-01    2.3745e-10   0.000000e+00       0.0000       5000000   
1.000e+00    4.2785e-14   0.000000e+00       0.0000       5000000   
1.778e+00    8.0065e-20   0.000000e+00       0.0000       5000000   
3.162e+00    3.1976e-29   0.000000e+00       0.0000       5000000   
5.623e+00    0.0000e+00   0.000000e+00       -            -         
1.000e+01    0.0000e+00   0.000000e+00       -            -         
1.778e+01    0.0000e+00   0.000000e+00       -            -         
3.162e+01    0.0000e+00   0.000000e+00       -            -         
5.623e+01    0.0000e+00   0.000000e+00       -            -         
1.000e+02    0.0000e+00   0.000000e+00       -            -         
1.778e+02    0.0000e+00   0.000000e+00       -            -         
3.162e+02    0.0000e+00   0.000000e+00       -            -         
5.623e+02    0.0000e+00   0.000000e+00       -            -         
1.000e+03    0.0000e+00   0.000000e+00       -            -         

wrote playground/sigma_explicit_vs_kthr_zs0.2.txt
kappa_thr    n_expected   sigma_explicit_MC  relerr(Var)  Nreal     
1.000e-05    3.9050e+02   1.227175e-02       0.0334       50000     
1.778e-05    2.1740e+02   1.201117e-02       0.0387       50000     
3.162e-05    1.2062e+02   1.227619e-02       0.0482       50000     
5.623e-05    6.6616e+01   1.236317e-02       0.0454       50000     
1.000e-04    3.6578e+01   1.224680e-02       0.0439       50000     
1.778e-04    1.9916e+01   1.203159e-02       0.0347       50000     
3.162e-04    1.0726e+01   1.182754e-02       0.0369       50000     
5.623e-04    5.6933e+00   1.193747e-02       0.0355       50000     
1.000e-03    2.9627e+00   1.236497e-02       0.0400       50000     
1.778e-03    1.5012e+00   1.217661e-02       0.0343       50000     
3.162e-03    7.3331e-01   1.165119e-02       0.0381       50000     
5.623e-03    3.4153e-01   1.153609e-02       0.0397       50000     
1.000e-02    1.4913e-01   1.069537e-02       0.0370       50000     
1.778e-02    5.9745e-02   1.038407e-02       0.0610       50214     
3.162e-02    2.1232e-02   9.332103e-03       0.0432       141298    
5.623e-02    6.3649e-03   7.795662e-03       0.0317       471338    
1.000e-01    1.4804e-03   5.860911e-03       0.0258       2026540   
1.778e-01    2.3273e-04   3.763947e-03       0.0343       5000000   
3.162e-01    1.9656e-05   1.689223e-03       0.1154       5000000   
5.623e-01    6.0851e-07   2.899412e-04       1.0000       5000000   
1.000e+00    3.7476e-09   0.000000e+00       0.0000       5000000   
1.778e+00    1.8152e-12   0.000000e+00       0.0000       5000000   
3.162e+00    1.6626e-17   0.000000e+00       0.0000       5000000   
5.623e+00    2.5169e-25   0.000000e+00       0.0000       5000000   
1.000e+01    6.0629e-49   0.000000e+00       0.0000       5000000   
1.778e+01    0.0000e+00   0.000000e+00       -            -         
3.162e+01    0.0000e+00   0.000000e+00       -            -         
5.623e+01    0.0000e+00   0.000000e+00       -            -         
1.000e+02    0.0000e+00   0.000000e+00       -            -         
1.778e+02    0.0000e+00   0.000000e+00       -            -         
3.162e+02    0.0000e+00   0.000000e+00       -            -         
5.623e+02    0.0000e+00   0.000000e+00       -            -         
1.000e+03    0.0000e+00   0.000000e+00       -            -         

wrote playground/sigma_explicit_vs_kthr_zs0.5.txt
kappa_thr    n_expected   sigma_explicit_MC  relerr(Var)  Nreal     
1.000e-05    6.8268e+03   6.689467e-02       0.0172       50000     
1.778e-05    3.8058e+03   6.734456e-02       0.0161       50000     
3.162e-05    2.1150e+03   6.717847e-02       0.0151       50000     
5.623e-05    1.1702e+03   6.758016e-02       0.0165       50000     
1.000e-04    6.4427e+02   6.671863e-02       0.0165       50000     
1.778e-04    3.5221e+02   6.785154e-02       0.0193       50000     
3.162e-04    1.9068e+02   6.794148e-02       0.0226       50000     
5.623e-04    1.0198e+02   6.696416e-02       0.0161       50000     
1.000e-03    5.3629e+01   6.652399e-02       0.0157       50000     
1.778e-03    2.7605e+01   6.579212e-02       0.0146       50000     
3.162e-03    1.3815e+01   6.573585e-02       0.0172       50000     
5.623e-03    6.6600e+00   6.431923e-02       0.0157       50000     
1.000e-02    3.0632e+00   6.307020e-02       0.0200       50000     
1.778e-02    1.3268e+00   5.977547e-02       0.0182       50000     
3.162e-02    5.3122e-01   5.680106e-02       0.0200       50000     
5.623e-02    1.9164e-01   5.333004e-02       0.0278       50000     
1.000e-01    5.9805e-02   4.411558e-02       0.0325       50163     
1.778e-01    1.5145e-02   3.458643e-02       0.0273       198079    
