# kappa_thr   n_expected   sigma_explicit_MC   relerr(Var)   Nreal
1.000000e-05 3.905007e+02 1.22717535e-02 0.0334 50000
1.778279e-05 2.174020e+02 1.20111676e-02 0.0387 50000
3.162278e-05 1.206230e+02 1.22761913e-02 0.0482 50000
5.623413e-05 6.661572e+01 1.23631717e-02 0.0454 50000
1.000000e-04 3.657780e+01 1.22468049e-02 0.0439 50000
1.778279e-04 1.991599e+01 1.20315935e-02 0.0347 50000
3.162278e-04 1.072646e+01 1.18275364e-02 0.0369 50000
5.623413e-04 5.693279e+00 1.19374682e-02 0.0355 50000
1.000000e-03 2.962677e+00 1.23649656e-02 0.0400 50000
1.778279e-03 1.501176e+00 1.21766065e-02 0.0343 50000
3.162278e-03 7.333103e-01 1.16511867e-02 0.0381 50000
5.623413e-03 3.415293e-01 1.15360891e-02 0.0397 50000
1.000000e-02 1.491336e-01 1.06953725e-02 0.0370 50000
1.778279e-02 5.974455e-02 1.03840673e-02 0.0610 50214
3.162278e-02 2.123173e-02 9.33210342e-03 0.0432 141298
5.623413e-02 6.364859e-03 7.79566207e-03 0.0317 471338
1.000000e-01 1.480355e-03 5.86091137e-03 0.0258 2026540
1.778279e-01 2.327320e-04 3.76394708e-03 0.0343 5000000
3.162278e-01 1.965558e-05 1.68922289e-03 0.1154 5000000
5.623413e-01 6.085127e-07 2.89941232e-04 1.0000 5000000
1.000000e+00 3.747605e-09 0.00000000e+00 0.0000 5000000
1.778279e+00 1.815240e-12 0.00000000e+00 0.0000 5000000
3.162278e+00 1.662615e-17 0.00000000e+00 0.0000 5000000
5.623413e+00 2.516867e-25 0.00000000e+00 0.0000 5000000
1.000000e+01 6.062877e-49 0.00000000e+00 0.0000 5000000
1.778279e+01 0.000000e+00 0.00000000e+00 0.0000 0
3.162278e+01 0.000000e+00 0.00000000e+00 0.0000 0
5.623413e+01 0.000000e+00 0.00000000e+00 0.0000 0
1.000000e+02 0.000000e+00 0.00000000e+00 0.0000 0
1.778279e+02 0.000000e+00 0.00000000e+00 0.0000 0
3.162278e+02 0.000000e+00 0.00000000e+00 0.0000 0
5.623413e+02 0.000000e+00 0.00000000e+00 0.0000 0
1.000000e+03 0.000000e+00 0.00000000e+00 0.0000 0
