# kappa_thr   n_expected   sigma_explicit_MC   relerr(Var)   Nreal
1.000000e-05 4.051876e+03 5.02820656e-02 0.0175 50000
1.778279e-05 2.259081e+03 5.08189405e-02 0.0207 50000
3.162278e-05 1.255934e+03 5.13748799e-02 0.0190 50000
5.623413e-05 6.956233e+02 5.04655093e-02 0.0175 50000
1.000000e-04 3.832605e+02 4.97780736e-02 0.0173 50000
1.778279e-04 2.097421e+02 5.03381721e-02 0.0183 50000
3.162278e-04 1.137427e+02 5.11006927e-02 0.0188 50000
5.623413e-04 6.094346e+01 5.04450890e-02 0.0189 50000
1.000000e-03 3.212433e+01 5.07488545e-02 0.0192 50000
1.778279e-03 1.657481e+01 5.02826584e-02 0.0203 50000
3.162278e-03 8.309998e+00 5.00238694e-02 0.0199 50000
5.623413e-03 4.015515e+00 4.95945460e-02 0.0219 50000
1.000000e-02 1.848031e+00 4.83638034e-02 0.0260 50000
1.778279e-02 7.982350e-01 4.49954149e-02 0.0210 50000
3.162278e-02 3.177842e-01 4.32351718e-02 0.0367 50000
5.623413e-02 1.131586e-01 3.85785239e-02 0.0317 50000
1.000000e-01 3.449413e-02 3.20439626e-02 0.0330 86971
1.778279e-01 8.365309e-03 2.53579098e-02 0.0246 358624
3.162278e-01 1.441098e-03 1.66076492e-02 0.0222 2081747
5.623413e-01 1.454945e-04 8.72398471e-03 0.0418 5000000
1.000000e+00 6.257314e-06 2.62259476e-03 0.1974 5000000
1.778279e+00 6.926271e-08 0.00000000e+00 0.0000 5000000
3.162278e+00 9.040125e-11 0.00000000e+00 0.0000 5000000
5.623413e+00 4.328675e-15 0.00000000e+00 0.0000 5000000
1.000000e+01 1.224021e-21 0.00000000e+00 0.0000 5000000
1.778279e+01 7.568032e-34 0.00000000e+00 0.0000 5000000
3.162278e+01 4.622344e-92 0.00000000e+00 0.0000 5000000
5.623413e+01 0.000000e+00 0.00000000e+00 0.0000 0
1.000000e+02 0.000000e+00 0.00000000e+00 0.0000 0
1.778279e+02 0.000000e+00 0.00000000e+00 0.0000 0
3.162278e+02 0.000000e+00 0.00000000e+00 0.0000 0
5.623413e+02 0.000000e+00 0.00000000e+00 0.0000 0
1.000000e+03 0.000000e+00 0.00000000e+00 0.0000 0
