kappa_thr    n_expected   sigma_explicit_MC  relerr(Var)  Nreal     
1.000e-05    4.0519e+03   5.028207e-02       0.0175       50000     
1.778e-05    2.2591e+03   5.081894e-02       0.0207       50000     
3.162e-05    1.2559e+03   5.137488e-02       0.0190       50000     
5.623e-05    6.9562e+02   5.046551e-02       0.0175       50000     
1.000e-04    3.8326e+02   4.977807e-02       0.0173       50000     
1.778e-04    2.0974e+02   5.033817e-02       0.0183       50000     
3.162e-04    1.1374e+02   5.110069e-02       0.0188       50000     
5.623e-04    6.0943e+01   5.044509e-02       0.0189       50000     
1.000e-03    3.2124e+01   5.074885e-02       0.0192       50000     
1.778e-03    1.6575e+01   5.028266e-02       0.0203       50000     
3.162e-03    8.3100e+00   5.002387e-02       0.0199       50000     
5.623e-03    4.0155e+00   4.959455e-02       0.0219       50000     
1.000e-02    1.8480e+00   4.836380e-02       0.0260       50000     
1.778e-02    7.9823e-01   4.499541e-02       0.0210       50000     
3.162e-02    3.1778e-01   4.323517e-02       0.0367       50000     
5.623e-02    1.1316e-01   3.857852e-02       0.0317       50000     
1.000e-01    3.4494e-02   3.204396e-02       0.0330       86971     
1.778e-01    8.3653e-03   2.535791e-02       0.0246       358624    
3.162e-01    1.4411e-03   1.660765e-02       0.0222       2081747   
5.623e-01    1.4549e-04   8.723985e-03       0.0418       5000000   
1.000e+00    6.2573e-06   2.622595e-03       0.1974       5000000   
1.778e+00    6.9263e-08   0.000000e+00       0.0000       5000000   
3.162e+00    9.0401e-11   0.000000e+00       0.0000       5000000   
5.623e+00    4.3287e-15   0.000000e+00       0.0000       5000000   
1.000e+01    1.2240e-21   0.000000e+00       0.0000       5000000   
1.778e+01    7.5680e-34   0.000000e+00       0.0000       5000000   
3.162e+01    4.6223e-92   0.000000e+00       0.0000       5000000   
5.623e+01    0.0000e+00   0.000000e+00       -            -         
1.000e+02    0.0000e+00   0.000000e+00       -            -         
1.778e+02    0.0000e+00   0.000000e+00       -            -         
3.162e+02    0.0000e+00   0.000000e+00       -            -         
5.623e+02    0.0000e+00   0.000000e+00       -            -         
1.000e+03    0.0000e+00   0.000000e+00       -            -         

wrote playground/sigma_explicit_vs_kthr_zs2.txt
kappa_thr    n_expected   sigma_explicit_MC  relerr(Var)  Nreal     
1.000e-05    1.1664e+04   8.673031e-02       0.0136       50000     
1.778e-05    6.4944e+03   8.656938e-02       0.0138       50000     
3.162e-05    3.6013e+03   8.696172e-02       0.0141       50000     
5.623e-05    1.9898e+03   8.669479e-02       0.0136       50000     
1.000e-04    1.0937e+03   8.625200e-02       0.0128       50000     
1.778e-04    5.9619e+02   8.665380e-02       0.0154       50000     
3.162e-04    3.2163e+02   8.705544e-02       0.0146       50000     
5.623e-04    1.7115e+02   8.628897e-02       0.0154       50000     
1.000e-03    8.9592e+01   8.604620e-02       0.0139       50000     
1.778e-03    4.5812e+01   8.709988e-02       0.0146       50000     
3.162e-03    2.2763e+01   8.490486e-02       0.0140       50000     
5.623e-03    1.0901e+01   8.432484e-02       0.0188       50000     
1.000e-02    4.9833e+00   8.092320e-02       0.0155       50000     
1.778e-02    2.1494e+00   7.856674e-02       0.0158       50000     
3.162e-02    8.6053e-01   7.463275e-02       0.0180       50000     
5.623e-02    3.1249e-01   6.665542e-02       0.0205       50000     
1.000e-01    9.9192e-02   6.004268e-02       0.0358       50000     
1.778e-01    2.5960e-02   4.659570e-02       0.0269       115560    
3.162e-01    5.1073e-03   3.259756e-02       0.0241       587393    
5.623e-01    6.4998e-04   1.852249e-02       0.0204       4615536   
1.000e+00    4.1607e-05   7.719623e-03       0.0743       5000000   
1.778e+00    8.9557e-07   2.111367e-03       0.4087       5000000   
3.162e+00    3.4766e-09   0.000000e+00       0.0000       5000000   
5.623e+00    9.6046e-13   0.000000e+00       0.0000       5000000   
1.000e+01    4.6176e-18   0.000000e+00       0.0000       5000000   
1.778e+01    2.8466e-26   0.000000e+00       0.0000       5000000   
3.162e+01    4.9479e-48   0.000000e+00       0.0000       5000000   
5.623e+01    2.0756e-165  0.000000e+00       0.0000       5000000   
1.000e+02    0.0000e+00   0.000000e+00       -            -         
1.778e+02    0.0000e+00   0.000000e+00       -            -         
3.162e+02    0.0000e+00   0.000000e+00       -            -         
5.623e+02    0.0000e+00   0.000000e+00       -            -         
1.000e+03    0.0000e+00   0.000000e+00       -            -         

wrote playground/sigma_explicit_vs_kthr_zs5.txt
