# zs   kappa_thr_fid(N=100)   sigma_full
0.200000 6.567239e-06 3.56628247e-03
0.235408 8.956708e-06 4.47985219e-03
0.277084 1.238151e-05 5.61046110e-03
0.326138 1.688648e-05 6.99942766e-03
0.383877 2.303057e-05 8.69364738e-03
0.451837 3.141017e-05 1.07449054e-02
0.531830 4.226458e-05 1.32010571e-02
0.625984 5.764242e-05 1.61089385e-02
0.736806 7.652248e-05 1.95100030e-02
0.867249 1.015865e-04 2.34267098e-02
1.020785 1.330526e-04 2.78667630e-02
1.201502 1.719300e-04 3.28178833e-02
1.414214 2.221671e-04 3.82372572e-02
1.664583 2.794403e-04 4.40626351e-02
1.959277 3.467680e-04 5.02129341e-02
2.306143 4.245508e-04 5.65875641e-02
2.714418 5.128153e-04 6.30815842e-02
3.194972 6.111289e-04 6.95894615e-02
3.760603 7.185307e-04 7.60082636e-02
4.426372 8.223166e-04 8.22475798e-02
5.210007 9.410936e-04 8.82311940e-02
6.132376 1.048354e-03 9.38988228e-02
7.218038 1.167839e-03 9.92091768e-02
8.495904 1.266307e-03 1.04138989e-01
10.000000 1.373078e-03 1.08681258e-01
