# bias_model=1 Rperp=8441 bias_weak partition (6-sigma-clamped tables, production convention); kappa_min=1.277748e-07 (absolute); NMC=200000
# kappa_thr   sigW_shot   sigW_corr   sigW_tot   sigS_shot   sigS_corr   sigS_tot   cov_ws   sig_tot
1.000000e-08 0.00000000e+00 -0.00000000e+00 8.06225775e-150 2.72783796e-02 3.41724384e-02 4.37217732e-02 2.53671703e-315 4.37217732e-02
1.778279e-08 0.00000000e+00 -0.00000000e+00 8.06225775e-150 2.72783777e-02 3.38592450e-02 4.34774225e-02 2.46798958e-315 4.34774225e-02
3.162278e-08 0.00000000e+00 -0.00000000e+00 8.06225775e-150 2.72783741e-02 3.33020443e-02 4.30449040e-02 2.21953983e-315 4.30449040e-02
5.623413e-08 0.00000000e+00 -0.00000000e+00 8.06225775e-150 2.72783677e-02 3.22994374e-02 4.22739981e-02 1.84993328e-315 4.22739981e-02
1.000000e-07 0.00000000e+00 -0.00000000e+00 8.06225775e-150 2.72783563e-02 3.09533658e-02 4.12546663e-02 1.41157442e-315 4.12546663e-02
1.778279e-07 2.77047017e-05 8.99712981e-04 9.00139430e-04 2.72783360e-02 2.95356822e-02 4.02018912e-02 2.65663487e-05 4.08672852e-02
3.162278e-07 5.22708344e-05 2.30972466e-03 2.31031607e-03 2.72783000e-02 2.81165376e-02 3.91710767e-02 6.49218200e-05 4.08601817e-02
5.623413e-07 7.89166176e-05 3.73848324e-03 3.73931612e-03 2.72782359e-02 2.66919765e-02 3.81613898e-02 9.97535399e-05 4.08629568e-02
1.000000e-06 1.11561156e-04 5.15945590e-03 5.16066193e-03 2.72781219e-02 2.52710875e-02 3.71813356e-02 1.30336416e-04 4.08626599e-02
1.778279e-06 1.53218619e-04 6.58222613e-03 6.58400924e-03 2.72779198e-02 2.38538099e-02 3.62328175e-02 1.56945961e-04 4.08663451e-02
3.162278e-06 2.07550060e-04 8.00242269e-03 8.00511384e-03 2.72775605e-02 2.24324352e-02 3.53129915e-02 1.79430096e-04 4.08650144e-02
5.623413e-06 2.79020088e-04 9.42725949e-03 9.43138785e-03 2.72769231e-02 2.10097910e-02 3.44262946e-02 1.97957461e-04 4.08660710e-02
1.000000e-05 3.73474677e-04 1.08355789e-02 1.08420136e-02 2.72757933e-02 1.96008769e-02 3.35840912e-02 2.12257298e-04 4.08650833e-02
1.778279e-05 4.98660594e-04 1.22543004e-02 1.22644426e-02 2.72737918e-02 1.81833081e-02 3.27753004e-02 2.22665012e-04 4.08652284e-02
3.162278e-05 6.64654129e-04 1.36665556e-02 1.36827090e-02 2.72702515e-02 1.67743079e-02 3.20120588e-02 2.29056558e-04 4.08668760e-02
5.623413e-05 8.84809643e-04 1.50630343e-02 1.50890000e-02 2.72639963e-02 1.53722414e-02 3.12947148e-02 2.31329008e-04 4.08619029e-02
1.000000e-04 1.17631782e-03 1.64579292e-02 1.64999155e-02 2.72529752e-02 1.39835859e-02 3.06266743e-02 2.29878424e-04 4.08655997e-02
1.778279e-04 1.56164039e-03 1.78423136e-02 1.79105268e-02 2.72336127e-02 1.25981993e-02 3.00018679e-02 2.24472602e-04 4.08637278e-02
3.162278e-04 2.06918427e-03 1.92114818e-02 1.93225962e-02 2.71997584e-02 1.12296989e-02 2.94221124e-02 2.15378163e-04 4.08629385e-02
5.623413e-04 2.73553741e-03 2.05674417e-02 2.07485688e-02 2.71408404e-02 9.87994595e-03 2.88784712e-02 2.02783259e-04 4.08660706e-02
1.000000e-03 3.60484750e-03 2.19009839e-02 2.21956870e-02 2.70391098e-02 8.54754294e-03 2.83531518e-02 1.86702661e-04 4.08650837e-02
1.778279e-03 4.73080241e-03 2.31908671e-02 2.36684938e-02 2.68649938e-02 7.26494319e-03 2.78250638e-02 1.67909640e-04 4.08687051e-02
3.162278e-03 6.17068666e-03 2.44426660e-02 2.52095751e-02 2.65712440e-02 6.00385642e-03 2.72360688e-02 1.46077500e-04 4.08592844e-02
5.623413e-03 7.98287523e-03 2.56492716e-02 2.68628659e-02 2.60841347e-02 4.81320904e-03 2.65193178e-02 1.22671826e-04 4.08684650e-02
1.000000e-02 1.02119484e-02 2.67754499e-02 2.86567961e-02 2.52947523e-02 3.68816134e-03 2.55568109e-02 9.78292495e-05 4.08658910e-02
1.778279e-02 1.28582479e-02 2.77857125e-02 3.06167389e-02 2.40577190e-02 2.67344436e-03 2.42000662e-02 7.32180112e-05 4.08590740e-02
3.162278e-02 1.58678859e-02 2.86921232e-02 3.27876790e-02 2.21882532e-02 1.78333246e-03 2.22535492e-02 4.99200706e-05 4.08667651e-02
5.623413e-02 1.90739089e-02 2.94235019e-02 3.50650388e-02 1.95011380e-02 1.05624175e-03 1.95226690e-02 2.96128486e-05 4.08646210e-02
1.000000e-01 2.21791998e-02 2.99551626e-02 3.72721517e-02 1.58805377e-02 5.30633682e-04 1.58812140e-02 1.42513710e-05 4.08647647e-02
1.778279e-01 2.47584067e-02 3.02633798e-02 3.90997813e-02 1.14511869e-02 2.16066045e-04 1.14437281e-02 4.94924555e-06 4.08613546e-02
3.162278e-01 2.64230504e-02 3.03917309e-02 4.02703221e-02 6.77722599e-03 6.87028846e-05 6.76735482e-03 1.11934165e-06 4.08623864e-02
5.623413e-01 2.71240620e-02 3.04287333e-02 4.07603007e-02 2.89717840e-03 1.36800254e-05 2.88811926e-03 1.65315998e-07 4.08665386e-02
1.000000e+00 2.72687480e-02 3.04275983e-02 4.08553499e-02 7.23715377e-04 1.07696232e-06 7.17838752e-04 1.05492669e-08 4.08619139e-02
1.778279e+00 2.72782448e-02 3.04298918e-02 4.08632985e-02 7.57934035e-05 1.63591156e-08 7.38171127e-05 1.22129468e-10 4.08633681e-02
3.162278e+00 2.72783500e-02 3.04324110e-02 4.08652411e-02 2.00794408e-06 1.45824729e-11 1.82275534e-06 7.97749574e-14 4.08652411e-02
5.623413e+00 2.72783501e-02 3.04326306e-02 4.08654047e-02 6.21497891e-09 1.12382582e-16 4.37254174e-09 4.41753101e-19 4.08654047e-02
1.000000e+01 2.72783501e-02 3.04326411e-02 4.08654125e-02 4.34370452e-13 4.40892090e-27 1.74334347e-14 8.79038727e-30 4.08654125e-02
1.778279e+01 2.72783501e-02 3.04326411e-02 4.08654125e-02 6.77385023e-27 7.69815201e-60 7.69815201e-60 -4.81559056e-71 4.08654125e-02
3.162278e+01 2.72783501e-02 3.04326411e-02 4.08654125e-02 0.00000000e+00 -0.00000000e+00 8.06225775e-150 1.22408560e-315 4.08654125e-02
5.623413e+01 2.72783501e-02 3.04326411e-02 4.08654125e-02 0.00000000e+00 -0.00000000e+00 8.06225775e-150 1.22408560e-315 4.08654125e-02
1.000000e+02 2.72783501e-02 3.04326411e-02 4.08654125e-02 0.00000000e+00 -0.00000000e+00 8.06225775e-150 1.22408560e-315 4.08654125e-02
1.778279e+02 2.72783501e-02 3.04326411e-02 4.08654125e-02 0.00000000e+00 -0.00000000e+00 8.06225775e-150 1.22408560e-315 4.08654125e-02
3.162278e+02 2.72783501e-02 3.04326411e-02 4.08654125e-02 0.00000000e+00 -0.00000000e+00 8.06225775e-150 1.22408560e-315 4.08654125e-02
5.623413e+02 2.72783501e-02 3.04326411e-02 4.08654125e-02 0.00000000e+00 -0.00000000e+00 8.06225775e-150 1.22408560e-315 4.08654125e-02
1.000000e+03 2.72783501e-02 3.04326411e-02 4.08654125e-02 0.00000000e+00 -0.00000000e+00 8.06225775e-150 1.22408560e-315 4.08654125e-02
