# bias_model=1 Rperp=8441 bias_weak partition (6-sigma-clamped tables, production convention); kappa_min=1.000000e-11 (absolute); NMC=200000
# kappa_thr   sigW_shot   sigW_corr   sigW_tot   sigS_shot   sigS_corr   sigS_tot   cov_ws   sig_tot
1.000000e-08 1.23712046e-05 1.97038166e-02 1.97038205e-02 2.72783796e-02 3.41724384e-02 4.37217732e-02 6.71513548e-04 6.03561189e-02
1.778279e-08 1.61273031e-05 1.99949972e-02 1.99950037e-02 2.72783777e-02 3.38592450e-02 4.34774225e-02 6.76347885e-04 6.03554655e-02
3.162278e-08 2.13074604e-05 2.05412569e-02 2.05412679e-02 2.72783741e-02 3.33020443e-02 4.30449040e-02 6.83898470e-04 6.03539923e-02
5.623413e-08 2.83221072e-05 2.15414980e-02 2.15415166e-02 2.72783677e-02 3.22994374e-02 4.22739981e-02 6.95683728e-04 6.03530886e-02
1.000000e-07 3.77404258e-05 2.28894843e-02 2.28895154e-02 2.72783563e-02 3.09533658e-02 4.12546663e-02 7.08354588e-04 6.03538448e-02
1.778279e-07 5.03163782e-05 2.43112458e-02 2.43112978e-02 2.72783360e-02 2.95356822e-02 4.02018912e-02 7.17848809e-04 6.03566804e-02
3.162278e-07 6.70758621e-05 2.57222829e-02 2.57223704e-02 2.72783000e-02 2.81165376e-02 3.91710767e-02 7.22998879e-04 6.03490791e-02
5.623413e-07 8.94162062e-05 2.71531941e-02 2.71533413e-02 2.72782359e-02 2.66919765e-02 3.81613898e-02 7.24524204e-04 6.03543207e-02
1.000000e-06 1.19214308e-04 2.85723010e-02 2.85725497e-02 2.72781219e-02 2.52710875e-02 3.71813356e-02 7.21778998e-04 6.03523016e-02
1.778279e-06 1.58875939e-04 2.99967485e-02 2.99971692e-02 2.72779198e-02 2.38538099e-02 3.62328175e-02 7.15233028e-04 6.03582081e-02
3.162278e-06 2.11758804e-04 3.14145870e-02 3.14153008e-02 2.72775605e-02 2.24324352e-02 3.53129915e-02 7.04368665e-04 6.03545012e-02
5.623413e-06 2.82163952e-04 3.28416482e-02 3.28428604e-02 2.72769231e-02 2.10097910e-02 3.44262946e-02 6.89616802e-04 6.03577405e-02
1.000000e-05 3.75830060e-04 3.42439727e-02 3.42460351e-02 2.72757933e-02 1.96008769e-02 3.35840912e-02 6.70795462e-04 6.03512471e-02
1.778279e-05 5.00426887e-04 3.56693149e-02 3.56728253e-02 2.72737918e-02 1.81833081e-02 3.27753004e-02 6.48117017e-04 6.03573095e-02
3.162278e-05 6.65980587e-04 3.70766617e-02 3.70826428e-02 2.72702515e-02 1.67743079e-02 3.20120588e-02 6.21411618e-04 6.03549297e-02
5.623413e-05 8.85806781e-04 3.84780449e-02 3.84882401e-02 2.72639963e-02 1.53722414e-02 3.12947148e-02 5.90908915e-04 6.03533067e-02
1.000000e-04 1.17706803e-03 3.98652829e-02 3.98826569e-02 2.72529752e-02 1.39835859e-02 3.06266743e-02 5.56808671e-04 6.03509473e-02
1.778279e-04 1.56220554e-03 4.12540395e-02 4.12836089e-02 2.72336127e-02 1.25981993e-02 3.00018679e-02 5.18993563e-04 6.03525937e-02
3.162278e-04 2.06961074e-03 4.26255438e-02 4.26757594e-02 2.71997584e-02 1.12296989e-02 2.94221124e-02 4.77845702e-04 6.03537284e-02
5.623413e-04 2.73586001e-03 4.39764451e-02 4.40614677e-02 2.71408404e-02 9.87994595e-03 2.88784712e-02 4.33552918e-04 6.03530021e-02
1.000000e-03 3.60509244e-03 4.53101682e-02 4.54533666e-02 2.70391098e-02 8.54754294e-03 2.83531518e-02 3.86226461e-04 6.03519898e-02
1.778279e-03 4.73098895e-03 4.65936756e-02 4.68332537e-02 2.68649938e-02 7.26494319e-03 2.78250638e-02 3.37310022e-04 6.03507073e-02
3.162278e-03 6.17082973e-03 4.78591823e-02 4.82553816e-02 2.65712440e-02 6.00385642e-03 2.72360688e-02 2.85965265e-04 6.03516017e-02
