# bias_model=1 Rperp=8441 bias_weak=True; halo-only
# kappa_thr   sigma_total   relerr(Var)   nsamples
1.000000e-05 4.81230073e-02 0.5697 100000
1.778279e-05 3.40601866e-02 0.0825 100000
3.162278e-05 7.20996574e-02 0.8063 100000
5.623413e-05 3.17452198e-02 0.0307 100000
1.000000e-04 3.24897620e-02 0.0296 100000
1.778279e-04 3.14082615e-02 0.0201 100000
3.162278e-04 3.40850918e-02 0.1040 100000
5.623413e-04 3.22388764e-02 0.0344 100000
1.000000e-03 3.32684631e-02 0.0565 100000
1.778279e-03 3.97665160e-02 0.3632 100000
3.162278e-03 3.43667511e-02 0.1434 100000
5.623413e-03 3.25263517e-02 0.0461 100000
1.000000e-02 3.82211240e-02 0.2961 100000
1.778279e-02 3.16158000e-02 0.0247 100000
3.162278e-02 3.49442540e-02 0.1597 100000
5.623413e-02 3.32383299e-02 0.0942 100000
1.000000e-01 3.25575223e-02 0.0481 100000
1.778279e-01 3.16405572e-02 0.0204 100000
3.162278e-01 3.72135198e-02 0.2037 100000
5.623413e-01 3.11667624e-02 0.0141 100000
1.000000e+00 3.22746059e-02 0.0450 100000
1.778279e+00 3.50012056e-02 0.2201 100000
3.162278e+00 6.30402317e-02 0.7383 100000
5.623413e+00 3.08434969e-02 0.0087 100000
1.000000e+01 3.34009250e-02 0.0569 100000
1.778279e+01 3.36077346e-02 0.0678 100000
3.162278e+01 3.60564009e-02 0.2371 100000
5.623413e+01 3.19588357e-02 0.0288 100000
1.000000e+02 3.17551058e-02 0.0328 100000
1.778279e+02 3.37075704e-02 0.0880 100000
3.162278e+02 3.19896288e-02 0.0344 100000
5.623413e+02 3.12184781e-02 0.0115 100000
1.000000e+03 3.24520956e-02 0.0405 100000
