# kappa_thr   sigma_total   relerr(Var)   nsamples
1.000000e-05 3.42571007e-03 0.0589 50000
3.162278e-05 3.57696637e-03 0.0548 50000
1.000000e-04 3.52577955e-03 0.0516 50000
3.162278e-04 3.39257808e-03 0.0473 50000
1.000000e-03 3.62553478e-03 0.0877 50000
3.162278e-03 3.60400501e-03 0.0506 50000
1.000000e-02 3.55671916e-03 0.0558 50000
3.162278e-02 3.56302446e-03 0.0507 50000
1.000000e-01 3.52022901e-03 0.0321 50000
3.162278e-01 3.56956745e-03 0.0063 50000
1.000000e+00 3.56740320e-03 0.0064 50000
3.162278e+00 3.55887259e-03 0.0063 50000
1.000000e+01 3.55574536e-03 0.0063 50000
3.162278e+01 3.58279106e-03 0.0064 50000
1.000000e+02 3.57987759e-03 0.0063 50000
3.162278e+02 3.56789444e-03 0.0064 50000
1.000000e+03 3.58135712e-03 0.0063 50000
