# kappa_thr   sigma_total   relerr(Var)   nsamples
1.000000e-05 6.65530983e-02 0.0154 50000
3.162278e-05 6.73437758e-02 0.0164 50000
1.000000e-04 6.65054440e-02 0.0149 50000
3.162278e-04 6.62051195e-02 0.0153 50000
1.000000e-03 6.64097270e-02 0.0157 50000
3.162278e-03 6.68754950e-02 0.0154 50000
1.000000e-02 6.64306953e-02 0.0160 50000
3.162278e-02 6.69101731e-02 0.0156 50000
1.000000e-01 6.65638480e-02 0.0145 50000
3.162278e-01 6.79302051e-02 0.0192 50000
1.000000e+00 6.73555145e-02 0.0110 50000
3.162278e+00 6.69414941e-02 0.0063 50000
1.000000e+01 6.68827280e-02 0.0063 50000
3.162278e+01 6.73914512e-02 0.0064 50000
1.000000e+02 6.73366494e-02 0.0063 50000
3.162278e+02 6.71112493e-02 0.0064 50000
1.000000e+03 6.73644791e-02 0.0063 50000
