kt=1.000e-05  sigma=0.048123  relerr(Var)=0.570  [33s]
kt=1.778e-05  sigma=0.034060  relerr(Var)=0.082  [24s]
kt=3.162e-05  sigma=0.072100  relerr(Var)=0.806  [19s]
kt=5.623e-05  sigma=0.031745  relerr(Var)=0.031  [15s]
kt=1.000e-04  sigma=0.032490  relerr(Var)=0.030  [13s]
kt=1.778e-04  sigma=0.031408  relerr(Var)=0.020  [12s]
kt=3.162e-04  sigma=0.034085  relerr(Var)=0.104  [12s]
kt=5.623e-04  sigma=0.032239  relerr(Var)=0.034  [11s]
kt=1.000e-03  sigma=0.033268  relerr(Var)=0.056  [11s]
kt=1.778e-03  sigma=0.039767  relerr(Var)=0.363  [11s]
kt=3.162e-03  sigma=0.034367  relerr(Var)=0.143  [11s]
kt=5.623e-03  sigma=0.032526  relerr(Var)=0.046  [11s]
kt=1.000e-02  sigma=0.038221  relerr(Var)=0.296  [11s]
kt=1.778e-02  sigma=0.031616  relerr(Var)=0.025  [11s]
kt=3.162e-02  sigma=0.034944  relerr(Var)=0.160  [11s]
kt=5.623e-02  sigma=0.033238  relerr(Var)=0.094  [11s]
kt=1.000e-01  sigma=0.032558  relerr(Var)=0.048  [11s]
kt=1.778e-01  sigma=0.031641  relerr(Var)=0.020  [11s]
kt=3.162e-01  sigma=0.037214  relerr(Var)=0.204  [11s]
kt=5.623e-01  sigma=0.031167  relerr(Var)=0.014  [12s]
kt=1.000e+00  sigma=0.032275  relerr(Var)=0.045  [12s]
kt=1.778e+00  sigma=0.035001  relerr(Var)=0.220  [12s]
kt=3.162e+00  sigma=0.063040  relerr(Var)=0.738  [12s]
kt=5.623e+00  sigma=0.030843  relerr(Var)=0.009  [12s]
kt=1.000e+01  sigma=0.033401  relerr(Var)=0.057  [12s]
kt=1.778e+01  sigma=0.033608  relerr(Var)=0.068  [12s]
kt=3.162e+01  sigma=0.036056  relerr(Var)=0.237  [12s]
kt=5.623e+01  sigma=0.031959  relerr(Var)=0.029  [12s]
kt=1.000e+02  sigma=0.031755  relerr(Var)=0.033  [12s]
kt=1.778e+02  sigma=0.033708  relerr(Var)=0.088  [12s]
kt=3.162e+02  sigma=0.031990  relerr(Var)=0.034  [12s]
kt=5.623e+02  sigma=0.031218  relerr(Var)=0.011  [12s]
kt=1.000e+03  sigma=0.032452  relerr(Var)=0.041  [12s]
sweep complete -> playground/sigma_total_vs_kthr_bias_zs1.txt
