subhalo,zs,Nreal,M_host,log10_M_host,host_events,smooth_host_seconds,subhalo_seconds,subhalo_calls,subhalo_clumps,mean_smooth_us_per_host,mean_subhalo_ms_per_call,mean_clumps_per_call,mean_fsub_seen,mean_Nsub_seen,subhalo_time_fraction
false,1,100,12618568.8307,7.10101010101,24,1.626e-06,0,0,0,0.06775,0,0,0,0,0
false,1,100,15922827.9334,7.20202020202,14,7.11e-07,0,0,0,0.0507857142857,0,0,0,0,0
false,1,100,20092330.0257,7.30303030303,28,1.456e-06,0,0,0,0.052,0,0,0,0,0
false,1,100,25353644.9397,7.40404040404,18,1.044e-06,0,0,0,0.058,0,0,0,0,0
false,1,100,31992671.378,7.50505050505,31,2.003e-06,0,0,0,0.0646129032258,0,0,0,0,0
false,1,100,40370172.586,7.60606060606,33,1.876e-06,0,0,0,0.0568484848485,0,0,0,0,0
false,1,100,50941380.1482,7.70707070707,17,9.18e-07,0,0,0,0.054,0,0,0,0,0
false,1,100,64280731.1728,7.80808080808,106,5.292e-06,0,0,0,0.0499245283019,0,0,0,0,0
false,1,100,81113083.079,7.90909090909,27,1.622e-06,0,0,0,0.0600740740741,0,0,0,0,0
false,1,100,102353102.19,8.0101010101,51,2.623e-06,0,0,0,0.051431372549,0,0,0,0,0
false,1,100,129154966.501,8.11111111111,49,2.587e-06,0,0,0,0.0527959183673,0,0,0,0,0
false,1,100,162975083.462,8.21212121212,44,2.46e-06,0,0,0,0.0559090909091,0,0,0,0,0
false,1,100,205651230.835,8.31313131313,39,2.206e-06,0,0,0,0.0565641025641,0,0,0,0,0
false,1,100,259502421.14,8.41414141414,45,2.795e-06,0,0,0,0.0621111111111,0,0,0,0,0
false,1,100,327454916.288,8.51515151515,62,3.04e-06,0,0,0,0.0490322580645,0,0,0,0,0
false,1,100,413201240.012,8.61616161616,68,3.372e-06,0,0,0,0.0495882352941,0,0,0,0,0
false,1,100,521400828.8,8.71717171717,34,1.875e-06,0,0,0,0.0551470588235,0,0,0,0,0
false,1,100,657933224.658,8.81818181818,39,2.043e-06,0,0,0,0.0523846153846,0,0,0,0,0
false,1,100,830217568.132,8.91919191919,43,2.463e-06,0,0,0,0.0572790697674,0,0,0,0,0
false,1,100,1047615752.79,9.0202020202,57,2.916e-06,0,0,0,0.0511578947368,0,0,0,0,0
false,1,100,1321941148.47,9.12121212121,38,2.333e-06,0,0,0,0.0613947368421,0,0,0,0,0
false,1,100,1668100537.2,9.22222222222,79,4.211e-06,0,0,0,0.0533037974684,0,0,0,0,0
false,1,100,2104904144.51,9.32323232323,87,4.502e-06,0,0,0,0.0517471264368,0,0,0,0,0
false,1,100,2656087782.95,9.42424242424,88,4.573e-06,0,0,0,0.0519659090909,0,0,0,0,0
false,1,100,3351602650.94,9.52525252525,83,4.541e-06,0,0,0,0.0547108433735,0,0,0,0,0
false,1,100,4229242874.39,9.62626262626,82,4.621e-06,0,0,0,0.0563536585366,0,0,0,0,0
false,1,100,5336699231.21,9.72727272727,92,5.04e-06,0,0,0,0.0547826086957,0,0,0,0,0
false,1,100,6734150657.75,9.82828282828,99,5.169e-06,0,0,0,0.0522121212121,0,0,0,0,0
false,1,100,8497534359.09,9.92929292929,81,4.702e-06,0,0,0,0.058049382716,0,0,0,0,0
false,1,100,10722672220.1,10.0303030303,99,5.374e-06,0,0,0,0.0542828282828,0,0,0,0,0
false,1,100,13530477745.8,10.1313131313,81,4.319e-06,0,0,0,0.0533209876543,0,0,0,0,0
false,1,100,17073526474.7,10.2323232323,87,4.666e-06,0,0,0,0.053632183908,0,0,0,0,0
false,1,100,21544346900.3,10.3333333333,104,6.084e-06,0,0,0,0.0585,0,0,0,0,0
false,1,100,27185882427.3,10.4343434343,98,5.535e-06,0,0,0,0.0564795918367,0,0,0,0,0
false,1,100,34304692863.2,10.5353535354,110,6.58e-06,0,0,0,0.0598181818182,0,0,0,0,0
false,1,100,43287612810.8,10.6363636364,130,7.21e-06,0,0,0,0.0554615384615,0,0,0,0,0
false,1,100,54622772176.8,10.7373737374,111,5.953e-06,0,0,0,0.0536306306306,0,0,0,0,0
false,1,100,68926121043.5,10.8383838384,125,6.628e-06,0,0,0,0.053024,0,0,0,0,0
false,1,100,86974900261.8,10.9393939394,135,7.08e-06,0,0,0,0.0524444444444,0,0,0,0,0
false,1,100,109749876549,11.0404040404,159,9.214e-06,0,0,0,0.0579496855346,0,0,0,0,0
false,1,100,138488637139,11.1414141414,127,6.794e-06,0,0,0,0.0534960629921,0,0,0,0,0
false,1,100,174752840001,11.2424242424,158,8.617e-06,0,0,0,0.0545379746835,0,0,0,0,0
false,1,100,220513073990,11.3434343434,168,9.58e-06,0,0,0,0.0570238095238,0,0,0,0,0
false,1,100,278255940221,11.4444444444,182,9.586e-06,0,0,0,0.0526703296703,0,0,0,0,0
false,1,100,351119173422,11.5454545455,158,9.129e-06,0,0,0,0.0577784810127,0,0,0,0,0
false,1,100,443062145758,11.6464646465,173,9.661e-06,0,0,0,0.0558439306358,0,0,0,0,0
false,1,100,559081018251,11.7474747475,159,8.709e-06,0,0,0,0.0547735849057,0,0,0,0,0
false,1,100,705480231072,11.8484848485,183,9.707e-06,0,0,0,0.053043715847,0,0,0,0,0
false,1,100,890215085445,11.9494949495,216,1.2239e-05,0,0,0,0.056662037037,0,0,0,0,0
false,1,100,1.12332403298e+12,12.0505050505,225,1.2454e-05,0,0,0,0.0553511111111,0,0,0,0,0
false,1,100,1.41747416293e+12,12.1515151515,192,1.0536e-05,0,0,0,0.054875,0,0,0,0,0
false,1,100,1.78864952906e+12,12.2525252525,206,1.1498e-05,0,0,0,0.0558155339806,0,0,0,0,0
