subhalo,zs,Nreal,M_host,log10_M_host,host_events,smooth_host_seconds,subhalo_seconds,subhalo_calls,subhalo_clumps,mean_smooth_us_per_host,mean_subhalo_ms_per_call,mean_clumps_per_call,mean_fsub_seen,mean_Nsub_seen,subhalo_time_fraction
true,1,1000,12618568.8307,7.10101010101,232,1.6708e-05,3.163e-06,232,0,0.0720172413793,1.36336206897e-05,0,0,0,3.42648953418e-08
true,1,1000,15922827.9334,7.20202020202,261,1.7089e-05,4.117e-06,261,0,0.0654750957854,1.57739463602e-05,0,0,0,4.45996124319e-08
true,1,1000,20092330.0257,7.30303030303,264,1.7701e-05,3.704e-06,264,0,0.0670492424242,1.40303030303e-05,0,0,0,4.01255682409e-08
true,1,1000,25353644.9397,7.40404040404,229,1.5172e-05,3.248e-06,229,0,0.0662532751092,1.41834061135e-05,0,0,0,3.51857034682e-08
true,1,1000,31992671.378,7.50505050505,255,1.7536e-05,4.044e-06,255,0,0.068768627451,1.58588235294e-05,0,0,0,4.38088007468e-08
true,1,1000,40370172.586,7.60606060606,263,2.1123e-05,3.753e-06,263,0,0.0803155893536,1.42699619772e-05,0,0,0,4.06563870432e-08
true,1,1000,50941380.1482,7.70707070707,290,2.0213e-05,4.581e-06,290,0,0.0697,1.57965517241e-05,0,0,0,4.96261414988e-08
true,1,1000,64280731.1728,7.80808080808,375,2.9486e-05,5.917e-06,375,0,0.0786293333333,1.57786666667e-05,0,0,0,6.40990786396e-08
true,1,1000,81113083.079,7.90909090909,395,2.2449e-05,5.165e-06,395,0,0.0568329113924,1.30759493671e-05,0,0,0,5.59526349795e-08
true,1,1000,102353102.19,8.0101010101,549,3.0853e-05,1.6169e-05,549,2,0.0561985428051,2.94517304189e-05,0.00364298724954,0.0807995819637,0.00359369395053,1.7515937173e-07
true,1,1000,129154966.501,8.11111111111,365,2.3716e-05,2.2503e-05,365,15,0.0649753424658,6.16520547945e-05,0.041095890411,0.0842715912159,0.0454369897119,2.43775826707e-07
true,1,1000,162975083.462,8.21212121212,510,3.0094e-05,3.7786e-05,510,63,0.0590078431373,7.40901960784e-05,0.123529411765,0.0882853197574,0.100452391879,4.09337127848e-07
true,1,1000,205651230.835,8.31313131313,536,3.3263e-05,2.8159e-05,536,88,0.0620578358209,5.25354477612e-05,0.164179104478,0.0885046343298,0.164817209773,3.05047482747e-07
true,1,1000,259502421.14,8.41414141414,527,3.2424e-05,2.954e-05,527,121,0.0615256166983,5.60531309298e-05,0.229601518027,0.0891139455524,0.244073198389,3.20007906543e-07
true,1,1000,327454916.288,8.51515151515,529,3.2405e-05,3.6794e-05,529,182,0.0612570888469,6.95538752363e-05,0.34404536862,0.0898939320159,0.341573056412,3.9859075536e-07
true,1,1000,413201240.012,8.61616161616,631,3.5784e-05,5.125e-05,631,276,0.0567099841521,8.12202852615e-05,0.437400950872,0.0882919975859,0.448830960219,5.55193135082e-07
true,1,1000,521400828.8,8.71717171717,604,3.7159e-05,6.2207e-05,604,352,0.0615215231788,0.000102991721854,0.582781456954,0.0908494998418,0.602965833263,6.73890719104e-07
true,1,1000,657933224.658,8.81818181818,546,3.3515e-05,6.1413e-05,546,402,0.0613827838828,0.000112478021978,0.736263736264,0.0922685553955,0.785840599715,6.65289287899e-07
true,1,1000,830217568.132,8.91919191919,646,4.0314e-05,8.8462e-05,646,641,0.0624055727554,0.000136938080495,0.99226006192,0.0929700191706,1.00331379757,9.58312099818e-07
true,1,1000,1047615752.79,9.0202020202,617,3.8531e-05,0.000109464,617,804,0.0624489465154,0.000177413290113,1.30307941653,0.0934224068559,1.26538023324,1.18582753832e-06
true,1,1000,1321941148.47,9.12121212121,643,4.099e-05,0.000124422,643,1020,0.0637480559876,0.000193502332815,1.58631415241,0.0956731087766,1.61458708423,1.3478681025e-06
true,1,1000,1668100537.2,9.22222222222,753,4.3996e-05,0.000188746,753,1551,0.058427622842,0.000250658698539,2.05976095618,0.0955962354585,1.99867125799,2.04469236047e-06
true,1,1000,2104904144.51,9.32323232323,719,4.3547e-05,0.000207374,719,1797,0.0605660639777,0.000288420027816,2.49930458971,0.0968949156355,2.49851649955,2.24649016965e-06
true,1,1000,2656087782.95,9.42424242424,802,4.6984e-05,0.00028066,802,2452,0.0585835411471,0.000349950124688,3.05735660848,0.0970092520499,3.07415500743,3.04040010326e-06
true,1,1000,3351602650.94,9.52525252525,784,4.7701e-05,0.000333033,784,3045,0.0608431122449,0.000424786989796,3.88392857143,0.098894272921,3.84038005423,3.60775873865e-06
true,1,1000,4229242874.39,9.62626262626,847,5.0161e-05,0.000432145,847,4104,0.0592219598583,0.00051020661157,4.8453364817,0.100174773573,4.75611330616,4.6814426802e-06
true,1,1000,5336699231.21,9.72727272727,858,5.4842e-05,0.000519399,858,5065,0.0639184149184,0.00060536013986,5.90326340326,0.101186859528,5.8627255663,5.62666847158e-06
true,1,1000,6734150657.75,9.82828282828,934,5.5208e-05,0.000694984,934,6789,0.0591092077088,0.000744094218415,7.2687366167,0.103353671348,7.29668523593,7.52878723497e-06
true,1,1000,8497534359.09,9.92929292929,980,5.8725e-05,0.000870838,980,8725,0.0599234693878,0.000888610204082,8.90306122449,0.104396111667,8.96958963018,9.43382008524e-06
true,1,1000,10722672220.1,10.0303030303,934,5.6082e-05,0.001023578,934,10214,0.0600449678801,0.00109590792291,10.9357601713,0.105205381824,10.9894789309,1.10884581233e-05
true,1,1000,13530477745.8,10.1313131313,1135,6.6201e-05,0.001487795,1135,15451,0.0583268722467,0.00131083259912,13.613215859,0.107728471856,13.6698031422,1.61173379592e-05
true,1,1000,17073526474.7,10.2323232323,1056,6.4649e-05,0.001676538,1056,17363,0.0612206439394,0.00158763068182,16.4422348485,0.10795131801,16.6287093775,1.81619978206e-05
true,1,1000,21544346900.3,10.3333333333,1149,6.8407e-05,0.002186677,1149,23514,0.0595361183638,0.00190311314186,20.4647519582,0.109351751267,20.4368491295,2.36883523716e-05
true,1,1000,27185882427.3,10.4343434343,1158,6.7655e-05,0.00267134,1158,29156,0.0584240069085,0.0023068566494,25.1778929188,0.110499943424,25.0443378214,2.89387244775e-05
true,1,1000,34304692863.2,10.5353535354,1165,6.7894e-05,0.003229215,1165,35394,0.058278111588,0.0027718583691,30.3811158798,0.11142587504,30.6146776784,3.49822048723e-05
true,1,1000,43287612810.8,10.6363636364,1207,7.2717e-05,0.004150577,1207,45686,0.060246064623,0.00343875476388,37.8508699254,0.113770231421,37.8821020627,4.49633533079e-05
true,1,1000,54622772176.8,10.7373737374,1191,7.5478e-05,0.004951783,1191,55527,0.0633736356003,0.00415766834593,46.6221662469,0.114876194317,46.3432580397,5.36428473759e-05
true,1,1000,68926121043.5,10.8383838384,1425,8.8496e-05,0.00716716,1425,80816,0.0621024561404,0.00502958596491,56.7129824561,0.116098462467,56.7339253118,7.76421079031e-05
true,1,1000,86974900261.8,10.9393939394,1345,7.8084e-05,0.008361747,1345,94923,0.0580550185874,0.00621691226766,70.5747211896,0.119490120778,70.7184850871,9.05831128136e-05
true,1,1000,109749876549,11.0404040404,1498,8.7445e-05,0.011214319,1498,128882,0.0583744993324,0.00748619425901,86.0360480641,0.11984683316,85.8914646812,0.000121485130213
true,1,1000,138488637139,11.1414141414,1518,8.8773e-05,0.014022602,1518,160609,0.0584802371541,0.00923755072464,105.803030303,0.121176740857,105.151137369,0.000151907363247
true,1,1000,174752840001,11.2424242424,1573,9.0987e-05,0.017595331,1573,205228,0.0578429752066,0.0111858429752,130.469167196,0.123960267049,130.22854219,0.000190610867916
true,1,1000,220513073990,11.3434343434,1650,9.504e-05,0.022422248,1650,263049,0.0576,0.0135892412121,159.423636364,0.125473486718,159.576779113,0.000242901037321
true,1,1000,278255940221,11.4444444444,1697,9.876e-05,0.027990128,1697,330927,0.058196817914,0.0164938880377,195.007071302,0.126852307192,195.290591377,0.000303218086159
true,1,1000,351119173422,11.5454545455,1775,0.000103486,0.035828271,1775,427367,0.058301971831,0.0201849414085,240.770140845,0.129064834562,240.509530483,0.000388128977582
true,1,1000,443062145758,11.6464646465,1926,0.000111937,0.047314941,1926,569766,0.0581188992731,0.0245664283489,295.828660436,0.131150820405,295.8129069,0.000512564496196
true,1,1000,559081018251,11.7474747475,1880,0.000110707,0.056345937,1880,684921,0.0588867021277,0.0299712430851,364.319680851,0.133606803786,364.737304862,0.000610397608042
true,1,1000,705480231072,11.8484848485,1978,0.000115844,0.072851888,1978,892522,0.0585662285136,0.0368310859454,451.224469161,0.13638093667,450.606407358,0.000789207182349
true,1,1000,890215085445,11.9494949495,2046,0.000119007,0.091232813,2046,1129874,0.0581656891496,0.0445908176931,552.235581623,0.138141200022,552.392682813,0.000988328418963
true,1,1000,1.12332403298e+12,12.0505050505,1967,0.000121554,0.106253484,1967,1332344,0.0617966446365,0.0540180396543,677.34824606,0.139947028758,677.267468863,0.0011510479004
true,1,1000,1.41747416293e+12,12.1515151515,2040,0.000134187,0.134047157,2040,1701193,0.0657779411765,0.0657093906863,833.918137255,0.142460631491,834.364221221,0.00145213778232
true,1,1000,1.78864952906e+12,12.2525252525,2186,0.000133391,0.176775456,2186,2259228,0.0610205855444,0.0808670887466,1033.49862763,0.145780090957,1033.2776768,0.00191501501702
true,1,1000,2.25701971963e+12,12.3535353535,2273,0.000147293,0.222862113,2273,2884922,0.0648011438627,0.0980475640123,1269.2133744,0.147899104758,1268.63658759,0.00241427346746
true,1,1000,2.84803586844e+12,12.4545454545,2305,0.000137687,0.277155888,2305,3619387,0.0597340563991,0.120241166161,1570.2329718,0.15120268467,1569.56670884,0.00300243992908
true,1,1000,3.5938136638e+12,12.5555555556,2381,0.000141269,0.346723032,2381,4571314,0.0593317933641,0.145620761025,1919.91348173,0.152680085684,1917.99616181,0.00375606335885
true,1,1000,4.53487850813e+12,12.6565656566,2426,0.000146868,0.431982352,2426,5739851,0.0605391591096,0.178063624073,2365.97320692,0.155667077412,2366.48774068,0.00467968070843
true,1,1000,5.72236765935e+12,12.7575757576,2365,0.000140411,0.516455633,2365,6900310,0.0593704016913,0.218374474841,2917.67864693,0.158580390856,2917.4049246,0.00559478286861
true,1,1000,7.22080901839e+12,12.8585858586,2508,0.000145326,0.672996888,2508,9071026,0.0579449760766,0.268340066986,3616.83652313,0.162381167709,3615.10269425,0.00729060004194
