subhalo,zs,Nreal,M_host,log10_M_host,host_events,smooth_host_seconds,subhalo_seconds,subhalo_calls,subhalo_clumps,mean_smooth_us_per_host,mean_subhalo_ms_per_call,mean_clumps_per_call,mean_fsub_seen,mean_Nsub_seen,subhalo_time_fraction
false,1,1000,12618568.8307,7.10101010101,248,1.4453e-05,0,0,0,0.0582782258065,0,0,0,0,0
false,1,1000,15922827.9334,7.20202020202,901,4.6084e-05,0,0,0,0.0511476137625,0,0,0,0,0
false,1,1000,20092330.0257,7.30303030303,234,1.3908e-05,0,0,0,0.0594358974359,0,0,0,0,0
false,1,1000,25353644.9397,7.40404040404,236,1.43e-05,0,0,0,0.060593220339,0,0,0,0,0
false,1,1000,31992671.378,7.50505050505,225,1.3915e-05,0,0,0,0.0618444444444,0,0,0,0,0
false,1,1000,40370172.586,7.60606060606,373,2.1926e-05,0,0,0,0.0587828418231,0,0,0,0,0
false,1,1000,50941380.1482,7.70707070707,374,2.5337e-05,0,0,0,0.0677459893048,0,0,0,0,0
false,1,1000,64280731.1728,7.80808080808,304,1.8165e-05,0,0,0,0.0597532894737,0,0,0,0,0
false,1,1000,81113083.079,7.90909090909,461,2.6582e-05,0,0,0,0.0576616052061,0,0,0,0,0
false,1,1000,102353102.19,8.0101010101,641,4.2598e-05,0,0,0,0.0664555382215,0,0,0,0,0
false,1,1000,129154966.501,8.11111111111,799,4.1822e-05,0,0,0,0.0523429286608,0,0,0,0,0
false,1,1000,162975083.462,8.21212121212,494,2.7662e-05,0,0,0,0.055995951417,0,0,0,0,0
false,1,1000,205651230.835,8.31313131313,418,2.6963e-05,0,0,0,0.064504784689,0,0,0,0,0
false,1,1000,259502421.14,8.41414141414,488,3.6284e-05,0,0,0,0.0743524590164,0,0,0,0,0
false,1,1000,327454916.288,8.51515151515,501,3.0041e-05,0,0,0,0.0599620758483,0,0,0,0,0
false,1,1000,413201240.012,8.61616161616,625,3.5374e-05,0,0,0,0.0565984,0,0,0,0,0
false,1,1000,521400828.8,8.71717171717,582,3.4894e-05,0,0,0,0.0599553264605,0,0,0,0,0
false,1,1000,657933224.658,8.81818181818,603,3.4441e-05,0,0,0,0.0571160862355,0,0,0,0,0
false,1,1000,830217568.132,8.91919191919,603,4.1105e-05,0,0,0,0.0681674958541,0,0,0,0,0
false,1,1000,1047615752.79,9.0202020202,668,3.775e-05,0,0,0,0.0565119760479,0,0,0,0,0
false,1,1000,1321941148.47,9.12121212121,710,4.021e-05,0,0,0,0.0566338028169,0,0,0,0,0
false,1,1000,1668100537.2,9.22222222222,646,3.7415e-05,0,0,0,0.0579179566563,0,0,0,0,0
false,1,1000,2104904144.51,9.32323232323,816,4.5932e-05,0,0,0,0.0562892156863,0,0,0,0,0
