subhalo,zs,Nreal,M_host,log10_M_host,host_events,smooth_host_seconds,subhalo_seconds,subhalo_calls,subhalo_clumps,mean_smooth_us_per_host,mean_subhalo_ms_per_call,mean_clumps_per_call,mean_fsub_seen,mean_Nsub_seen,subhalo_time_fraction
true,1,1000,12618568.8307,7.10101010101,668,3.6078e-05,1.0706e-05,668,0,0.0540089820359,1.60269461078e-05,0,0,0,1.34475529654e-07
true,1,1000,15922827.9334,7.20202020202,300,2.3454e-05,4.883e-06,300,0,0.07818,1.62766666667e-05,0,0,0,6.13342061743e-08
true,1,1000,20092330.0257,7.30303030303,306,1.8792e-05,4.38e-06,306,0,0.0614117647059,1.43137254902e-05,0,0,0,5.50161423395e-08
true,1,1000,25353644.9397,7.40404040404,556,3.7712e-05,9.253e-06,556,0,0.0678273381295,1.66420863309e-05,0,0,0,1.16224740883e-07
true,1,1000,31992671.378,7.50505050505,245,1.867e-05,3.826e-06,245,0,0.0762040816327,1.56163265306e-05,0,0,0,4.80574795869e-08
true,1,1000,40370172.586,7.60606060606,362,2.053e-05,5.965e-06,362,0,0.0567127071823,1.64779005525e-05,0,0,0,7.4924951839e-08
true,1,1000,50941380.1482,7.70707070707,382,2.3166e-05,5.756e-06,382,0,0.0606439790576,1.50680628272e-05,0,0,0,7.22997523529e-08
true,1,1000,64280731.1728,7.80808080808,360,1.9883e-05,5.25e-06,360,0,0.0552305555556,1.45833333333e-05,0,0,0,6.59440062288e-08
true,1,1000,81113083.079,7.90909090909,503,2.679e-05,7.581e-06,503,0,0.0532604373757,1.50715705765e-05,0,0,0,9.52231449944e-08
true,1,1000,102353102.19,8.0101010101,481,2.976e-05,1.5745e-05,481,4,0.0618711018711,3.27338877339e-05,0.00831600831601,0.0840486313393,0.00373820075121,1.97769214871e-07
true,1,1000,129154966.501,8.11111111111,507,3.2488e-05,3.0714e-05,507,21,0.0640788954635,6.05798816568e-05,0.0414201183432,0.0859222658741,0.0463269893712,3.85791277583e-07
true,1,1000,162975083.462,8.21212121212,454,2.9931e-05,3.1869e-05,454,49,0.0659273127753,7.01960352423e-05,0.107929515419,0.0869532724658,0.0989367680255,4.00298958953e-07
true,1,1000,205651230.835,8.31313131313,475,3.1002e-05,3.0811e-05,475,87,0.0652673684211,6.48652631579e-05,0.183157894737,0.0875672080916,0.163071493538,3.87009671603e-07
true,1,1000,259502421.14,8.41414141414,464,3.0212e-05,2.6583e-05,464,97,0.0651120689655,5.72909482759e-05,0.209051724138,0.0893755125403,0.244789601315,3.33902765253e-07
true,1,1000,327454916.288,8.51515151515,656,3.8517e-05,5.2586e-05,656,245,0.0587149390244,8.01615853659e-05,0.373475609756,0.0889244402911,0.337889245456,6.60520287914e-07
true,1,1000,413201240.012,8.61616161616,593,3.9125e-05,5.3505e-05,593,253,0.0659780775717,9.02276559865e-05,0.426644182125,0.090361181323,0.459349622714,6.72063629195e-07
true,1,1000,521400828.8,8.71717171717,586,3.8379e-05,6.4158e-05,586,393,0.0654931740614,0.000109484641638,0.670648464164,0.0918831227331,0.609825962256,8.05873438405e-07
true,1,1000,657933224.658,8.81818181818,706,4.5043e-05,9.4287e-05,706,553,0.0638002832861,0.000133550991501,0.78328611898,0.0924882006995,0.787711293329,1.18431666958e-06
