subhalo,zs,Nreal,M_host,log10_M_host,host_events,smooth_host_seconds,subhalo_seconds,subhalo_calls,subhalo_clumps,mean_smooth_us_per_host,mean_subhalo_ms_per_call,mean_clumps_per_call,mean_fsub_seen,mean_Nsub_seen,subhalo_time_fraction
true,1,1000,12618568.8307,7.10101010101,232,1.7117e-05,2.709e-06,232,0,0.0737801724138,1.16767241379e-05,0,0,0,2.31638994868e-08
true,1,1000,15922827.9334,7.20202020202,261,2.0747e-05,4.216e-06,261,0,0.0794904214559,1.6153256705e-05,0,0,0,3.60498339743e-08
true,1,1000,20092330.0257,7.30303030303,264,1.754e-05,4.207e-06,264,0,0.0664393939394,1.59356060606e-05,0,0,0,3.59728774976e-08
true,1,1000,25353644.9397,7.40404040404,229,1.5214e-05,3.707e-06,229,0,0.0664366812227,1.61877729258e-05,0,0,0,3.16975176809e-08
true,1,1000,31992671.378,7.50505050505,255,1.6924e-05,3.324e-06,255,0,0.066368627451,1.30352941176e-05,0,0,0,2.84225920613e-08
true,1,1000,40370172.586,7.60606060606,263,1.6959e-05,3.794e-06,263,0,0.0644828897338,1.44258555133e-05,0,0,0,3.2441430289e-08
true,1,1000,50941380.1482,7.70707070707,290,2.0954e-05,3.664e-06,290,0,0.0722551724138,1.26344827586e-05,0,0,0,3.13298367366e-08
true,1,1000,64280731.1728,7.80808080808,375,2.2325e-05,5.42e-06,375,0,0.0595333333333,1.44533333333e-05,0,0,0,4.63449004128e-08
true,1,1000,81113083.079,7.90909090909,395,2.222e-05,5.711e-06,395,0,0.056253164557,1.44582278481e-05,0,0,0,4.88331598261e-08
true,1,1000,102353102.19,8.0101010101,549,3.0375e-05,1.283e-05,549,2,0.0553278688525,2.33697632058e-05,0.00364298724954,0.0807995819637,0.00359369395053,1.09705732896e-07
true,1,1000,129154966.501,8.11111111111,365,2.3209e-05,2.6127e-05,365,15,0.0635863013699,7.15808219178e-05,0.041095890411,0.0842715912159,0.0454369897119,2.23404651861e-07
true,1,1000,162975083.462,8.21212121212,510,2.8511e-05,4.3042e-05,510,63,0.0559039215686,8.43960784314e-05,0.123529411765,0.0882853197574,0.100452391879,3.68040074459e-07
true,1,1000,205651230.835,8.31313131313,536,3.2081e-05,3.0458e-05,536,88,0.0598526119403,5.68246268657e-05,0.164179104478,0.0885046343298,0.164817209773,2.60437818593e-07
true,1,1000,259502421.14,8.41414141414,527,3.1383e-05,3.2921e-05,527,121,0.05955028463,6.24686907021e-05,0.229601518027,0.0891139455524,0.244073198389,2.8149824105e-07
true,1,1000,327454916.288,8.51515151515,529,3.1457e-05,4.1494e-05,529,182,0.0594650283554,7.8438563327e-05,0.34404536862,0.0898939320159,0.341573056412,3.54803560467e-07
true,1,1000,413201240.012,8.61616161616,631,3.6616e-05,6.2626e-05,631,276,0.058028526149,9.92488114105e-05,0.437400950872,0.0882919975859,0.448830960219,5.35497367759e-07
true,1,1000,521400828.8,8.71717171717,604,3.6002e-05,6.3698e-05,604,352,0.0596059602649,0.000105460264901,0.582781456954,0.0908494998418,0.602965833263,5.44663739206e-07
true,1,1000,657933224.658,8.81818181818,546,3.3267e-05,7.1632e-05,546,402,0.0609285714286,0.000131194139194,0.736263736264,0.0922685553955,0.785840599715,6.12505148777e-07
true,1,1000,830217568.132,8.91919191919,646,3.8617e-05,9.959e-05,646,641,0.0597786377709,0.000154164086687,0.99226006192,0.0929700191706,1.00331379757,8.51566168287e-07
true,1,1000,1047615752.79,9.0202020202,617,3.8673e-05,0.000125205,617,804,0.0626790923825,0.000202925445705,1.30307941653,0.0934224068559,1.26538023324,1.0705928517e-06
true,1,1000,1321941148.47,9.12121212121,643,4.0752e-05,0.000154658,643,1020,0.0633779160187,0.000240525660964,1.58631415241,0.0956731087766,1.61458708423,1.32243719706e-06
true,1,1000,1668100537.2,9.22222222222,753,4.9755e-05,0.000219866,753,1551,0.0660756972112,0.000291986719788,2.05976095618,0.0955962354585,1.99867125799,1.88001252291e-06
true,1,1000,2104904144.51,9.32323232323,719,4.1886e-05,0.000250746,719,1797,0.0582559109875,0.000348742698192,2.49930458971,0.0968949156355,2.49851649955,2.14405874519e-06
true,1,1000,2656087782.95,9.42424242424,802,4.8333e-05,0.000338112,802,2452,0.0602655860349,0.000421586034913,3.05735660848,0.0970092520499,3.07415500743,2.89110091668e-06
true,1,1000,3351602650.94,9.52525252525,784,4.6951e-05,0.000395274,784,3045,0.0598864795918,0.000504176020408,3.88392857143,0.098894272921,3.84038005423,3.37987715236e-06
true,1,1000,4229242874.39,9.62626262626,847,5.3786e-05,0.000512934,847,4104,0.0635017709563,0.000605589138135,4.8453364817,0.100174773573,4.75611330616,4.38595482442e-06
