# M=9.326033469e+13 zl=0.4979838239 zs=1 r200=797.1137454 c_host=4.538411182 fs_jvdb14=0.1719171484 gnorm=0.04928589906 psi_min=1.072267222e-07 Sigmac=2989967086 Nreal=2000 seed=20260728 virial=1 xmax=1.172291067 Mpsi=1.047291345e+14
x_r200,mean_host,mean_sub,mean_tot,sig_host,sig_sub,sig_tot,cov_hs,mean_Msum,sig_Msum,mean_Nc
0.03,0.2773603354,0.02006753511,0.2974278706,0.02200586484,0.01716886167,0.02274205238,-0.0001309134759,2.156702562e+13,1.094170918e+13,34302.004
0.07041666667,0.1562645864,0.01772570158,0.173990288,0.01565374706,0.01499714502,0.01762692091,-7.962290757e-05,2.197089919e+13,1.134515435e+13,34303.2405
0.1108333333,0.1048365514,0.01722417158,0.122060723,0.01190433251,0.01334572197,0.01428244446,-5.791660384e-05,2.19119206e+13,1.147463009e+13,34306.581
0.15125,0.07592301384,0.01629871729,0.09222173113,0.009110752959,0.01385748379,0.01310546402,-5.164124463e-05,2.221836047e+13,1.144597296e+13,34306.3
0.1916666667,0.05826635667,0.01579757998,0.07406393665,0.007031607222,0.01349745416,0.01266450566,-3.561753276e-05,2.172576895e+13,1.112628518e+13,34300.576
0.2320833333,0.04593770922,0.01508951785,0.06102722706,0.005953167284,0.01444178657,0.01371276472,-2.798274185e-05,2.198337852e+13,1.137993269e+13,34295.052
0.2725,0.03726060543,0.01460515121,0.05186575665,0.005272028352,0.01521300265,0.01419026749,-2.893302066e-05,2.203176899e+13,1.204579444e+13,34309.333
0.3129166667,0.03113573553,0.01298146673,0.04411720226,0.004059359411,0.01140609889,0.01056055324,-1.752610304e-05,2.135377846e+13,1.095731526e+13,34309.3015
0.3533333333,0.02608244455,0.01257470689,0.03865715144,0.003562984461,0.01167624612,0.0111917773,-1.188685132e-05,2.188710357e+13,1.126638416e+13,34299.8575
0.39375,0.02223660139,0.01179228821,0.03402888959,0.003203606511,0.01161404811,0.01094596788,-1.266749771e-05,2.207790299e+13,1.159597073e+13,34301.2365
0.4341666667,0.01939437962,0.010835224,0.03022960362,0.002638756146,0.01004679495,0.009513114975,-8.700883156e-06,2.139656503e+13,1.099594783e+13,34305.6695
0.4745833333,0.01683146135,0.01023793717,0.02706939853,0.002514054552,0.01040121173,0.009845269168,-8.788175359e-06,2.191561642e+13,1.176602624e+13,34302.9815
0.515,0.01480373722,0.009745956004,0.02454969323,0.002189938226,0.01163912933,0.01118534432,-7.576616781e-06,2.207193303e+13,1.153386915e+13,34305.552
0.5554166667,0.01319964576,0.008798392844,0.02199803861,0.001899794301,0.01108113447,0.01067342639,-6.239364244e-06,2.178315718e+13,1.13985682e+13,34307.013
0.5958333333,0.0117743857,0.008296998514,0.02007138421,0.001730934111,0.01043465653,0.01011459999,-4.786528447e-06,2.193751661e+13,1.138602207e+13,34305.587
0.63625,0.01053146362,0.008028057287,0.01855952091,0.001669719793,0.00945822334,0.009097067791,-4.744655265e-06,2.234309742e+13,1.203083267e+13,34308.6315
0.6766666667,0.009558347169,0.007334767424,0.01689311459,0.001467237387,0.007890159972,0.007515043936,-3.965762287e-06,2.210101886e+13,1.183009945e+13,34306.609
0.7170833333,0.008715391426,0.006412101327,0.01512749275,0.001337000982,0.006882822825,0.006553512892,-3.106145226e-06,2.181006129e+13,1.163157323e+13,34309.3385
0.7575,0.00789415507,0.006383017125,0.01427717219,0.001292381068,0.0068464477,0.006543665288,-2.862269765e-06,2.238037584e+13,1.2239358e+13,34308.4535
0.7979166667,0.007248704938,0.006053583333,0.01330228827,0.001100205897,0.01139974686,0.01120231908,-2.836364389e-06,2.224535834e+13,1.137049256e+13,34303.799
0.8383333333,0.006730440424,0.00498695195,0.01171739237,0.0009870365417,0.004944225828,0.004741285167,-1.469912568e-06,2.152923395e+13,1.102232262e+13,34296.506
0.87875,0.006145415868,0.004701520043,0.01084693591,0.0009436404986,0.005701319799,0.005489552859,-1.630157121e-06,2.23330686e+13,1.135626389e+13,34303.272
0.9191666667,0.005719422861,0.004248902937,0.009968325798,0.0008797800606,0.00519132114,0.004990026263,-1.411733015e-06,2.19365764e+13,1.138111484e+13,34300.4155
0.9595833333,0.005320979889,0.003971574997,0.009292554886,0.0008131861027,0.005716994068,0.005528269834,-1.391762726e-06,2.179065023e+13,1.13253437e+13,34310.8955
1,0.004976581895,0.003357220403,0.008333802299,0.000707353279,0.004794966214,0.00464066468,-9.781404929e-07,2.145856907e+13,1.060936005e+13,34309.488
